Subject,Slope,Trial,Muscle,Mean_EMG,percent_stance
1,Upslope,1,ABDH,45.4462675,0-20
1,Upslope,1,ABDM,18.22415325,0-20
1,Upslope,1,PDIO1,33.48163139,0-20
1,Upslope,1,PDIO3,41.12587266,0-20
1,Upslope,1,FDB,30.69304675,0-20
1,Upslope,1,EDB,11.1716738,0-20
1,Upslope,1,ABDH,29.97511281,20-40
1,Upslope,1,ABDM,9.38759044,20-40
1,Upslope,1,PDIO1,22.43725558,20-40
1,Upslope,1,PDIO3,31.39073541,20-40
1,Upslope,1,FDB,18.85176139,20-40
1,Upslope,1,EDB,9.485945119,20-40
1,Upslope,1,ABDH,29.9992358,40-60
1,Upslope,1,ABDM,3.959577284,40-60
1,Upslope,1,PDIO1,14.37278112,40-60
1,Upslope,1,PDIO3,10.95725103,40-60
1,Upslope,1,FDB,8.28660011,40-60
1,Upslope,1,EDB,7.724749119,40-60
1,Upslope,1,ABDH,30.52992472,60-80
1,Upslope,1,ABDM,10.76823486,60-80
1,Upslope,1,PDIO1,9.313963798,60-80
1,Upslope,1,PDIO3,6.915915706,60-80
1,Upslope,1,FDB,45.63499174,60-80
1,Upslope,1,EDB,14.12236804,60-80
1,Upslope,1,ABDH,55.28126319,80-100
1,Upslope,1,ABDM,4.740617706,80-100
1,Upslope,1,PDIO1,38.28271987,80-100
1,Upslope,1,PDIO3,10.89950817,80-100
1,Upslope,1,FDB,20.57674228,80-100
1,Upslope,1,EDB,17.04408339,80-100
1,Upslope,2,ABDH,67.74032319,0-20
1,Upslope,2,ABDM,4.785778861,0-20
1,Upslope,2,PDIO1,26.30407876,0-20
1,Upslope,2,PDIO3,12.75418591,0-20
1,Upslope,2,FDB,19.35442909,0-20
1,Upslope,2,EDB,8.152716351,0-20
1,Upslope,2,ABDH,87.83892278,20-40
1,Upslope,2,ABDM,3.834147761,20-40
1,Upslope,2,PDIO1,41.67336911,20-40
1,Upslope,2,PDIO3,10.72890193,20-40
1,Upslope,2,FDB,17.57560836,20-40
1,Upslope,2,EDB,8.267393069,20-40
1,Upslope,2,ABDH,83.37947992,40-60
1,Upslope,2,ABDM,8.591087181,40-60
1,Upslope,2,PDIO1,40.83698977,40-60
1,Upslope,2,PDIO3,25.5666471,40-60
1,Upslope,2,FDB,29.0677029,40-60
1,Upslope,2,EDB,10.8789673,40-60
1,Upslope,2,ABDH,51.06646913,60-80
1,Upslope,2,ABDM,12.66192533,60-80
1,Upslope,2,PDIO1,19.93516593,60-80
1,Upslope,2,PDIO3,15.90972046,60-80
1,Upslope,2,FDB,51.98154923,60-80
1,Upslope,2,EDB,11.90060732,60-80
1,Upslope,2,ABDH,39.98676747,80-100
1,Upslope,2,ABDM,4.602808264,80-100
1,Upslope,2,PDIO1,53.37197334,80-100
1,Upslope,2,PDIO3,12.62058967,80-100
1,Upslope,2,FDB,20.66080145,80-100
1,Upslope,2,EDB,11.68282012,80-100
1,Upslope,3,ABDH,45.29853046,0-20
1,Upslope,3,ABDM,8.379775706,0-20
1,Upslope,3,PDIO1,21.99720986,0-20
1,Upslope,3,PDIO3,31.6954007,0-20
1,Upslope,3,FDB,23.63570043,0-20
1,Upslope,3,EDB,10.16964253,0-20
1,Upslope,3,ABDH,44.09941605,20-40
1,Upslope,3,ABDM,21.04550248,20-40
1,Upslope,3,PDIO1,23.66731805,20-40
1,Upslope,3,PDIO3,26.26368006,20-40
1,Upslope,3,FDB,26.86200118,20-40
1,Upslope,3,EDB,11.99839141,20-40
1,Upslope,3,ABDH,46.9538976,40-60
1,Upslope,3,ABDM,18.99478694,40-60
1,Upslope,3,PDIO1,21.2891734,40-60
1,Upslope,3,PDIO3,27.9480989,40-60
1,Upslope,3,FDB,24.84343934,40-60
1,Upslope,3,EDB,12.84830356,40-60
1,Upslope,3,ABDH,34.74207255,60-80
1,Upslope,3,ABDM,22.35710308,60-80
1,Upslope,3,PDIO1,6.756173598,60-80
1,Upslope,3,PDIO3,6.695180716,60-80
1,Upslope,3,FDB,50.93910658,60-80
1,Upslope,3,EDB,10.06824375,60-80
1,Upslope,3,ABDH,31.66982534,80-100
1,Upslope,3,ABDM,8.62739207,80-100
1,Upslope,3,PDIO1,26.50768677,80-100
1,Upslope,3,PDIO3,9.932336828,80-100
1,Upslope,3,FDB,23.0267858,80-100
1,Upslope,3,EDB,12.9244242,80-100
1,Upslope,4,ABDH,29.06408156,0-20
1,Upslope,4,ABDM,5.981943223,0-20
1,Upslope,4,PDIO1,17.37447055,0-20
1,Upslope,4,PDIO3,25.75557002,0-20
1,Upslope,4,FDB,14.77394204,0-20
1,Upslope,4,EDB,7.629574625,0-20
1,Upslope,4,ABDH,23.94281855,20-40
1,Upslope,4,ABDM,30.43068854,20-40
1,Upslope,4,PDIO1,31.16902139,20-40
1,Upslope,4,PDIO3,37.20922107,20-40
1,Upslope,4,FDB,32.92478398,20-40
1,Upslope,4,EDB,12.93584564,20-40
1,Upslope,4,ABDH,29.62913221,40-60
1,Upslope,4,ABDM,17.60638011,40-60
