"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,67.181,3.32128,11.7913,7.71616,17.2208,2.52992,217.58
0.0003,69.762,3.49843,12.7311,8.00294,17.2563,2.58746,218.939
0.0007,71.0525,3.62518,13.2772,8.55758,17.3517,2.59157,220.577
0.001,71.5467,3.70151,13.5184,9.33136,17.5397,2.60596,222.177
0.0013,71.7046,3.73752,13.5756,10.1809,17.8205,2.68611,223.266
0.0017,71.7595,3.74904,13.5756,10.9709,18.1258,2.84436,223.72
0.002,71.8007,3.75048,13.5946,11.6365,18.3874,3.07248,223.844
0.0023,71.835,3.75048,13.6518,12.164,18.5701,3.36843,223.917
0.0027,71.8556,3.75048,13.7216,12.5618,18.6927,3.73425,224.136
0.003,71.8625,3.75048,13.7788,12.8485,18.7881,4.15967,224.831
0.0033,71.8693,3.75192,13.7978,13.0352,18.8862,4.59948,225.913
0.0037,71.8762,3.75624,13.7978,13.1353,19.0007,4.98996,226.556
0.004,71.8968,3.7692,13.8042,13.1678,19.1234,5.28179,226.556
0.0043,71.9517,3.79081,13.8359,13.1705,19.2242,5.46881,227.674
0.0047,72.0478,3.81817,13.8931,13.1813,19.2815,5.58185,231.731
0.005,72.1302,3.84842,13.9439,13.2327,19.3005,5.66406,237.44
0.0053,71.9929,3.88155,13.9375,13.0812,18.938,5.7216,239.055
0.0057,71.43,3.93484,13.8677,12.9595,18.4747,5.78737,239.516
0.006,70.0228,4.01981,13.747,12.8675,17.8123,5.86341,230.81
0.0063,67.3801,4.13648,13.5946,12.8215,16.842,5.94767,213.53
0.0067,63.5772,4.26466,13.4803,12.881,15.52,6.03193,194.013
0.007,59.3008,4.38132,13.4676,13.0785,13.9582,6.11414,178.173
0.0073,55.6009,4.48358,13.5692,13.3761,12.4482,6.19635,167.611
0.0077,53.2808,4.58728,13.7661,13.6954,11.3552,6.2765,160.359
0.008,52.4365,4.71835,13.9883,13.9822,10.9136,6.34637,153.657
0.0083,52.5257,4.87534,14.1852,14.2419,11.1289,6.39364,145.908
0.0087,52.6218,4.98912,14.2677,14.4935,11.8458,6.41008,137.224
0.009,51.702,4.96031,14.1407,14.7235,12.8707,6.40597,128.877
0.0093,48.8327,4.79036,13.6708,14.8939,13.9964,6.39159,122.261
0.0097,43.5884,4.70971,12.82,14.9886,14.9858,6.38131,117.92
0.01,36.573,5.04961,11.6453,15.0211,15.6536,6.38131,115.157
0.0103,29.9696,5.84176,10.3627,14.9886,15.9561,6.39981,112.883
0.0107,27.0797,6.80243,9.26416,14.8425,15.9916,6.4368,110.522
0.011,29.0566,7.68244,8.57205,14.5287,15.8907,6.47379,107.956
0.0113,33.1889,8.39969,8.31806,14.0444,15.7026,6.48818,105.288
0.0117,36.779,8.98013,8.33711,13.4438,15.4246,6.46146,103.147
0.012,38.852,9.4799,8.42601,12.808,15.0839,6.39364,102.153
0.0123,39.5522,9.93503,8.4514,12.2073,14.765,6.29088,101.904
0.0127,39.559,10.3513,8.38791,11.6933,14.5415,6.14908,101.794
0.013,39.6345,10.7157,8.27361,11.3091,14.4161,5.94973,102.072
0.0133,40.3278,11.0167,8.18472,11.0899,14.3643,5.67639,102.321
0.0137,41.7144,11.2586,8.16567,11.0412,14.3562,5.33728,101.085
0.014,43.4511,11.4574,8.19107,11.1197,14.3916,4.97968,99.6454
0.0143,45.0642,11.6317,8.22917,11.2685,14.4788,4.67346,102.489
0.0147,46.1762,11.7959,8.24821,11.4363,14.6369,4.45972,109.513
0.015,46.7254,11.9471,8.25456,11.5796,14.8441,4.33436,113.724
0.0153,46.897,12.0767,8.28631,11.6825,15.0539,4.27887,110.698
0.0157,46.9381,12.1703,8.38156,11.7717,15.2284,4.2727,104.309
0.016,46.9587,12.2207,8.5403,11.9016,15.3565,4.2727,101.509
0.0163,46.9381,12.2251,8.72444,12.118,15.4437,4.23366,102.664
0.0167,46.8832,12.1934,8.83873,12.4157,15.5009,4.13706,103.3
0.017,46.8352,12.1459,8.79429,12.6997,15.5282,3.99526,102.299
0.0173,46.8283,12.1113,8.53395,12.8675,15.5091,3.83906,101.568
0.0177,46.8283,12.1156,8.07677,12.8323,15.4301,3.69109,101.546
0.018,46.8009,12.179,7.518,12.5699,15.2747,3.57189,101.524
0.0183,46.7048,12.3072,6.99098,12.1343,15.0239,3.50407,101.699
0.0187,46.5126,12.4872,6.59095,11.6256,14.6369,3.50201,102.211
0.019,46.2243,12.7133,6.36871,11.1603,14.0563,3.55956,102.299
0.0193,45.9222,12.9855,6.27347,10.8032,13.2059,3.63766,101.846
0.0197,45.7506,13.2765,6.26712,10.5407,12.0884,3.69315,101.546
0.02,45.7438,13.4968,6.32427,10.4569,10.87,3.68287,101.524
0.0203,45.6133,13.5372,6.48936,11.2875,9.87514,3.60272,101.546
0.0207,44.769,13.3614,6.92113,14.4854,9.35726,3.47941,101.846
0.021,42.6136,13.0316,7.78469,20.5241,9.23188,3.3972,102.299
0.0213,39.0373,12.6427,9.08637,28.2565,9.23188,3.44652,102.211
0.0217,34.5893,12.2553,10.5912,35.9943,9.21007,3.62532,101.699
0.022,30.3746,11.8765,11.9755,42.2874,9.19917,3.82879,101.524
0.0223,27.5259,11.492,12.9851,46.3592,9.25913,3.96032,101.546
0.0227,26.4001,11.1017,13.5756,48.2639,9.38451,3.99526,101.561
0.023,26.304,10.7229,13.8359,48.7346,9.54805,3.98087,102.291
0.0233,26.1324,10.3873,13.9185,48.7238,9.77429,3.96032,103.286
0.0237,25.0341,10.1151,13.9375,48.9484,10.1395,3.95415,102.679
0.024,22.6728,9.90046,13.9375,49.6329,10.7337,3.95826,101.524
0.0243,19.1583,9.71755,13.9185,50.5987,11.5569,3.96443,104.316
0.0247,14.9642,9.53895,13.8931,51.4997,12.5136,3.96648,110.924
0.025,10.7701,9.34884,13.855,52.0624,13.473,3.96032,114.499
0.0253,7.31735,9.15152,13.7978,52.2464,14.3343,3.94182,110.924
0.0257,5.18942,8.9686,13.728,52.222,15.0648,3.88839,104.316
0.026,4.41375,8.82602,13.6391,52.2248,15.6563,3.79385,101.524
0.0263,4.35197,8.7324,13.5311,52.3492,16.1224,3.6767,102.679
0.0267,4.4618,8.68775,13.4168,52.5088,16.4849,3.60066,103.286
0.027,4.58536,8.67767,13.3025,52.5846,16.7711,3.64177,102.291
0.0273,4.68146,8.68343,13.2073,52.5494,17.0137,3.84728,101.561
0.0277,4.73637,8.67623,13.1502,52.4547,17.2454,4.20488,101.546
0.028,4.7501,8.61574,13.1438,52.36,17.4771,4.62619,101.524
0.0283,4.74324,8.45731,13.1692,52.2978,17.7006,4.98585,101.699
0.0287,4.76383,8.17069,13.2264,52.2789,17.8859,5.19137,102.211
0.029,4.89425,7.74869,13.2962,52.3276,17.9949,5.23864,102.299
0.0293,5.21001,7.22011,13.3914,52.4655,18.0167,5.19342,101.846
0.0297,5.62187,6.63103,13.5057,52.7226,17.9868,5.13999,101.546
0.03,5.90331,6.02468,13.62,53.0743,17.9595,5.11944,101.524
0.0303,5.9239,5.4284,13.7026,53.4179,17.9622,5.13177,101.546
0.0307,5.95136,4.84653,13.6962,53.5153,17.9786,5.1667,101.846
0.031,6.63092,4.27186,13.5057,52.9038,17.9895,5.20986,102.299
0.0313,8.34014,3.70871,13.0041,50.9532,17.9895,5.2263,102.211
0.0317,10.7426,3.20462,12.0771,47.1519,17.9922,5.17081,101.699
0.032,13.2893,2.84167,10.7246,41.5812,17.9922,5.03723,101.524
0.0323,15.5614,2.69332,9.12447,35.2016,17.9731,4.88309,101.546
0.0327,17.3324,2.73653,7.65135,29.6877,17.9241,4.77828,101.561
0.033,18.5062,2.85607,6.66715,26.5277,17.8805,4.74745,102.291
0.0333,19.1034,2.94537,6.22267,25.6808,17.9104,4.75567,103.286
0.0337,19.2681,2.95977,6.08298,25.6863,18.0276,4.75773,102.679
0.034,19.2475,2.91512,6.03853,25.2101,18.1149,4.74539,101.524
0.0343,19.3779,2.85463,6.10203,23.7599,17.9922,4.73923,104.316
0.0347,19.9477,2.8287,6.42586,21.5414,17.537,4.79266,110.924
0.035,21.0254,2.87047,7.11162,19.2038,16.7575,4.9283,114.499
0.0353,22.4051,2.97417,8.10217,17.5237,15.7681,5.11738,110.924
0.0357,23.7642,3.11388,9.22606,16.8825,14.7132,5.29001,104.316
0.036,24.8557,3.26079,10.3119,16.8581,13.7102,5.40099,101.524
0.0363,25.5627,3.40049,11.2199,16.7256,12.827,5.44004,102.679
0.0367,25.9059,3.52868,11.8675,16.179,12.0911,5.43182,103.286
0.037,25.9951,3.64822,12.2422,15.4594,11.4806,5.3825,102.291
0.0373,25.9814,3.75768,12.3755,14.9588,10.9572,5.27768,101.561
0.0377,26.002,3.85274,12.3691,14.7938,10.4693,5.07628,101.546
0.038,26.153,3.93052,12.3818,14.7911,10.006,4.75361,101.524
0.0383,26.4139,3.99101,12.5406,14.783,9.70069,4.31792,101.699
0.0387,26.709,4.03998,12.9343,14.7126,9.88331,3.85961,102.211
0.039,26.9905,4.07886,13.5121,14.5611,10.9654,3.51024,102.299
0.0393,27.2307,4.11343,14.1534,14.25,13.0315,3.34788,101.846
0.0397,27.4504,4.14656,14.7122,13.6196,15.6727,3.32732,101.546
0.04,27.6494,4.18832,15.1186,12.5239,18.2839,3.35199,101.524
0.0403,27.8073,4.24018,15.3217,10.9844,20.3608,3.38487,101.546
0.0407,27.8622,4.30499,15.3662,9.36382,21.661,3.44447,101.846
0.041,27.8554,4.38276,15.3217,8.31949,22.2388,3.54312,102.299
0.0413,27.9927,4.47206,15.2773,8.41959,22.3642,3.66437,102.211
0.0417,28.3839,4.57432,15.3154,9.61814,22.3642,3.77946,101.699
0.042,28.8026,4.6881,15.5059,11.4958,22.4596,3.88017,101.524
0.0423,28.9262,4.81196,15.9186,13.6818,22.7458,3.98292,101.546
0.0427,28.7271,4.94735,16.6171,15.8381,23.231,4.11857,101.561
0.043,28.583,5.09138,17.6394,17.6238,23.8988,4.33025,102.291
0.0433,29.0772,5.23685,18.9728,18.7926,24.7028,4.65291,103.286
0.0437,30.8963,5.37511,20.4904,19.3229,25.5423,5.10094,102.679
0.044,34.3078,5.48601,21.9825,19.4311,26.3001,5.60857,101.524
0.0443,38.4607,5.55083,23.2715,19.4338,26.8888,6.05454,104.316
0.0447,41.8105,5.55659,24.2494,19.515,27.2622,6.31144,110.924
0.045,43.2726,5.50762,24.9161,19.6665,27.4231,6.34432,114.499
0.0453,43.0461,5.42552,25.3542,19.7963,27.434,6.23539,110.924
0.0457,42.4008,5.33623,25.6209,19.8586,27.4149,6.15524,104.316
0.046,42.5999,5.26277,25.7669,19.8775,27.5185,6.24567,101.524
0.0463,43.9659,5.21812,25.7733,19.8775,27.9001,6.52517,102.679
0.0467,46.0252,5.20516,25.6145,19.8802,28.7069,6.91566,103.286
0.047,48.2973,5.21812,25.3606,19.8883,30.0315,7.32875,102.291
0.0473,50.6792,5.24693,25.1955,19.9045,31.8278,7.70895,101.561
0.0477,53.322,5.27141,25.2844,19.9208,33.8311,8.01312,101.546
0.048,56.4315,5.26853,25.6272,19.9262,35.6083,8.19808,101.524
0.0483,60.0764,5.22532,26.0463,19.9235,36.7885,8.25974,101.699
