"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,28.8284,15.2768,12.6014,8.92771,36.7904,6.25784,178.03
0.0003,28.8364,15.2776,12.6255,9.99474,36.9144,6.83207,179.143
0.0007,28.9001,15.3384,12.9751,11.4003,36.9676,7.74063,180.482
0.001,28.9161,15.4629,13.9346,12.9897,37.1803,8.60581,181.792
0.0013,28.928,15.5381,15.4407,14.5568,37.2866,9.1392,182.683
0.0017,28.9798,15.5442,17.2332,15.9122,37.2911,9.33827,183.054
0.002,28.9798,15.5617,19.1168,16.9416,37.455,9.36634,183.156
0.0023,29.2628,15.6301,21.0209,17.6186,37.7607,9.36634,183.216
0.0027,30.6376,15.703,22.897,17.9919,37.938,9.3689,183.395
0.003,33.216,15.7364,24.6226,18.1563,37.9468,9.374,183.963
0.0033,35.9179,15.7425,26.0134,18.2092,38,9.41483,184.848
0.0037,37.6794,15.7425,26.9376,18.2218,38.164,9.49395,185.375
0.004,38.3409,15.7425,27.421,18.2232,38.2969,9.56286,185.375
0.0043,38.4246,15.744,27.6125,18.226,38.3235,9.58583,186.29
0.0047,38.4326,15.7508,27.6739,18.2315,38.3235,9.58583,189.609
0.005,38.4923,15.76,27.6925,18.2343,38.3323,9.65984,194.281
0.0053,37.4602,15.5495,27.0324,17.7565,38.3456,9.87167,195.602
0.0057,36.8026,15.406,26.5155,17.379,38.7311,10.3285,195.979
0.006,36.7429,15.333,26.1957,17.2411,40.4548,10.9972,188.856
0.0063,36.448,15.3217,26.0339,17.4013,44.6642,11.7169,174.717
0.0067,34.83,15.4022,25.9539,17.7259,51.5809,12.2758,158.747
0.007,32.2915,15.6468,25.9391,17.9836,60.1682,12.531,145.787
0.0073,31.084,16.1132,26.0804,18.0811,68.8529,12.4672,137.144
0.0077,32.419,16.7437,26.4262,18.088,76.3456,12.189,131.211
0.008,34.3837,17.3217,26.839,18.0839,81.9464,11.8751,125.726
0.0083,35.0093,17.5641,27.0826,18.0713,85.5178,11.7756,119.387
0.0087,34.7304,17.3005,27.0659,18.0685,87.2325,12.0793,112.281
0.009,35.0293,16.5636,26.9264,18.1591,87.3876,12.7071,105.451
0.0093,35.9219,15.5723,26.852,18.3903,86.3951,13.3502,100.038
0.0097,36.2846,14.6501,26.9153,18.6801,84.9019,13.7713,96.4853
0.01,36.0574,14.0835,27.0919,18.8834,83.6789,13.9525,94.2245
