"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,1.70328,1.55473,0.702906,1.73944,8.52221,19.0589,217.58
0.0003,1.86699,1.57748,0.760972,1.74647,9.46223,19.7306,218.939
0.0007,1.93666,1.58254,0.764028,1.74711,10.1332,20.1715,220.577
0.001,1.95059,1.58254,0.82515,1.75222,10.5796,20.3612,222.177
0.0013,1.95059,1.60782,1.08492,1.76948,10.8456,20.3869,223.266
0.0017,1.97149,1.71399,1.45777,1.78609,10.9846,20.3971,223.72
0.002,2.02722,1.97438,1.75726,1.79057,11.0378,20.4741,223.844
0.0023,2.10037,2.41173,1.89173,1.79376,11.0467,20.6125,223.917
0.0027,2.18745,2.95525,1.9009,1.84297,11.0467,20.7817,224.136
0.003,2.26756,3.50383,1.94369,1.98931,11.0526,20.9919,224.831
0.0033,2.32678,3.97404,2.16373,2.24684,11.0614,21.2739,225.913
0.0037,2.35813,4.34313,2.57019,2.58041,11.0614,21.638,226.556
0.004,2.36858,4.61616,3.06528,2.93699,11.0614,22.0123,226.556
0.0043,2.37206,4.81587,3.56648,3.27695,11.0673,22.2687,227.674
0.0047,2.37206,4.95744,4.02184,3.58688,11.0792,22.3507,231.731
0.005,2.37554,5.04845,4.40691,3.87253,11.0969,22.3507,237.44
0.0053,2.34768,5.07878,4.7003,4.07255,11.0378,22.0431,239.055
0.0057,2.31633,5.07373,4.90506,4.29174,11.0555,21.9559,239.516
0.006,2.2815,5.06109,5.03036,4.5301,11.1915,22.243,230.81
0.0063,2.25363,5.06361,5.10676,4.77421,11.4812,23.0942,213.53
0.0067,2.24666,5.08637,5.14955,5.00554,11.9482,24.7914,194.013
0.007,2.25015,5.11417,5.174,5.21322,12.566,27.5602,178.173
0.0073,2.2815,5.14704,5.18011,5.3979,13.2607,31.2674,167.611
0.0077,2.36509,5.18243,5.17705,5.56597,13.9524,35.3694,160.359
0.008,2.51487,5.23299,5.19845,5.72061,14.6264,39.0971,153.657
0.0083,2.67858,5.3063,5.28707,5.86184,15.3388,41.8352,145.908
0.0087,2.79701,5.39731,5.48878,5.97878,16.1872,43.3375,137.224
0.009,2.84229,5.49085,5.80356,6.06377,17.2454,43.758,128.877
0.0093,2.82487,5.57175,6.19474,6.11234,18.5106,43.5272,122.261
0.0097,2.76914,5.63495,6.59509,6.13279,19.897,43.1734,117.92
0.01,2.68903,5.69309,6.94349,6.13662,21.2834,43.2042,115.157
0.0103,2.60195,5.75376,7.21242,6.13407,22.5633,43.8862,112.883
0.0107,2.52532,5.82202,7.39579,6.1347,23.6955,45.1321,110.522
0.011,2.48004,5.89533,7.51498,6.14109,24.6503,46.4909,107.956
0.0113,2.47307,5.96864,7.57916,6.15388,25.4129,47.4754,105.288
0.0117,2.50094,6.02932,7.58833,6.17688,25.945,47.8958,103.147
