"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,1.41145,2.45043,7.05688,6.8692,14.6126,3.66225,217.575
0.0003,1.58846,2.99291,8.08024,6.91095,15.5561,3.71284,218.942
0.0007,1.80274,3.55626,9.07161,6.94502,16.1948,3.7291,220.58
0.001,2.01236,4.09178,9.8871,6.9648,16.604,3.73271,222.174
0.0013,2.19404,4.56008,10.4414,6.9681,16.8725,3.73271,223.264
0.0017,2.31049,4.93564,10.7239,6.97029,17.0706,3.73271,223.725
0.002,2.37105,5.21615,10.7985,6.98678,17.24,3.75439,223.849
0.0023,2.38968,5.40393,10.7985,7.01095,17.399,3.86822,223.915
0.0027,2.38968,5.51753,10.9211,7.02084,17.5476,4.2115,224.127
0.003,2.38968,5.56853,11.2995,7.02194,17.6753,4.86734,224.822
0.0033,2.39434,5.58012,11.9125,7.05271,17.7717,5.72915,225.94
0.0037,2.40366,5.58012,12.6054,7.1593,17.8395,6.57651,226.635
0.004,2.41763,5.59635,13.2023,7.33623,17.8786,7.245,226.635
0.0043,2.43626,5.65199,13.6074,7.51315,17.9047,7.7021,227.783
0.0047,2.45956,5.75863,13.8366,7.60875,17.9203,8.00022,231.973
0.005,2.4875,5.90932,13.9432,7.61425,17.9334,8.22244,237.787
0.0053,2.52011,6.04378,13.9272,7.67139,17.3964,8.40673,239.308
0.0057,2.53875,6.18752,13.9219,8.13402,16.8412,8.59282,239.615
0.006,2.54806,6.30575,13.9166,9.20655,16.3199,8.75724,230.913
0.0063,2.5434,6.38689,13.8846,10.6802,15.8898,8.85299,213.677
0.0067,2.53875,6.42862,13.7886,12.0879,15.577,8.87829,194.057
0.007,2.52943,6.44716,13.6394,13.0384,15.3737,8.87106,178.101
0.0073,2.49682,6.4518,13.4688,13.4098,15.259,8.86925,167.519
0.0077,2.43161,6.45412,13.3143,13.3648,15.2121,8.88371,160.25
0.008,2.37105,6.45412,13.213,13.2153,15.2277,8.89997,153.574
0.0083,2.35707,6.45412,13.181,13.2274,15.3111,8.92165,145.961
0.0087,2.38968,6.44485,13.2343,13.5208,15.4076,8.98489,137.237
0.009,2.41763,6.4263,13.3889,14.1131,15.3945,9.14749,128.601
0.0093,2.41763,6.39153,13.6501,14.9812,15.1,9.47451,121.786
0.0097,2.44558,6.34052,13.9858,16.0615,14.4014,9.99485,117.42
0.01,2.61794,6.26866,14.3589,17.2351,13.3197,10.6525,114.744
0.0103,2.99525,6.1597,14.7534,18.3494,12.032,11.3246,112.806
0.0107,3.56356,5.98119,15.1691,19.2812,10.7913,11.8901,110.722
0.011,4.28559,5.70531,15.5902,19.979,9.82425,12.2894,107.782
0.0113,5.12407,5.33902,15.9739,20.4779,9.27165,12.5279,104.491
0.0117,6.04641,4.95419,16.2884,20.8614,9.18302,12.6526,102.151
0.012,6.9734,4.6389,16.5602,21.2197,9.50885,12.7158,101.164
