"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,1.1172,21.0609,2.39945,5.40084,11.9763,4.67421,217.58
0.0003,1.20116,21.6178,2.39945,5.49326,12.367,6.0323,218.939
0.0007,1.40781,22.0851,2.39945,5.61745,12.7667,7.36892,220.577
0.001,1.75007,22.4629,2.39945,5.80518,13.0541,8.40161,222.177
0.0013,2.20212,22.7511,2.39945,6.06511,13.1978,9.09873,223.266
0.0017,2.75103,22.9575,2.40431,6.38569,13.2337,9.54502,223.72
0.002,3.3387,23.1054,2.41402,6.7265,13.2337,9.81619,223.844
0.0023,3.88115,23.2106,2.44802,7.0673,13.2472,9.93934,223.917
0.0027,4.28154,23.2885,2.51117,7.42254,13.2696,9.95064,224.136
0.003,4.48819,23.343,2.59374,7.80666,13.2786,10.0117,224.831
0.0033,4.52048,23.3819,2.67631,8.20812,13.2876,10.4161,225.913
0.0037,4.53339,23.4092,2.74431,8.56913,13.4358,11.2839,226.556
0.004,4.66901,23.4248,2.78803,8.81174,13.8579,12.3482,226.556
0.0043,4.96607,23.4365,2.81231,8.90994,14.4686,13.2306,227.674
0.0047,5.2825,23.4443,2.82203,8.9186,14.9805,13.7865,231.731
0.005,5.46332,23.4559,2.82688,8.93882,15.1826,14.1108,237.44
0.0053,5.48269,23.4481,2.58888,9.04568,14.5764,14.3672,239.055
0.0057,5.50207,23.4637,2.33631,9.2594,14.1138,14.7559,239.516
0.006,5.73455,23.4754,2.12259,9.56843,14.1049,15.4497,230.81
0.0063,6.14785,23.3936,1.98173,9.97855,14.4866,16.4789,213.53
0.0067,6.54178,23.1054,1.93802,10.4955,14.9401,17.6145,194.013
0.007,6.7678,22.5369,1.9623,11.0847,15.1512,18.5251,178.173
0.0073,6.87759,21.6918,1.99145,11.6537,14.9805,19.0403,167.611
0.0077,6.98091,20.6325,1.98659,12.0869,14.5584,19.2222,160.359
0.008,7.24568,19.4291,1.93316,12.3064,14.2845,19.229,153.657
0.0083,7.91084,18.1596,1.88945,12.3468,14.6886,19.1793,145.908
0.0087,8.92472,16.8627,2.00602,12.3035,15.9909,19.1194,137.224
0.009,9.74486,15.5698,2.36059,12.2862,17.8949,19.0674,128.877
0.0093,9.95151,14.3002,2.9046,12.3555,19.8887,19.055,122.261
0.0097,10.0355,13.0618,3.52146,12.523,21.5727,19.0787,117.92
0.01,11.3593,11.8429,4.1529,12.7598,22.7492,19.0607,115.157
0.0103,14.4074,10.6434,4.7989,13.0053,23.3824,18.8822,112.883
0.0107,18.2627,9.45948,5.52262,13.1844,23.571,18.5048,110.522
0.011,22.0276,8.30674,6.37263,13.2566,23.4946,18.0189,107.956
0.0113,25.3341,7.2241,7.3635,13.2219,23.3464,17.5625,105.288
0.0117,28.1303,6.26219,8.41265,13.1122,23.297,17.2122,103.147
0.012,30.3841,5.45605,9.3598,12.9591,23.4363,16.9693,102.153
0.0123,31.9533,4.80568,10.0447,12.7858,23.7641,16.8134,101.911
0.0127,32.6831,4.31109,10.3944,12.6125,24.1952,16.7411,101.794
0.013,32.7606,3.96449,10.4624,12.5028,24.6352,16.7366,102.072
0.0133,32.7928,3.78925,10.4478,12.5519,25.0439,16.7106,102.387
0.0137,33.3482,3.77756,10.5595,12.8465,25.4076,16.4959,101.254
0.014,34.2975,3.88661,10.9335,13.4039,25.677,15.9863,99.8135
0.0143,35.0531,4.04238,11.5164,14.1461,25.7983,15.2813,102.708
0.0147,35.3179,4.18258,12.177,14.9491,25.7848,14.6316,110.025
0.015,35.2985,4.28773,12.7793,15.6855,25.7624,14.1921,114.455
0.0153,35.2726,4.35004,13.2601,16.2776,25.8477,13.9153,111.246
0.0157,35.2726,4.3773,13.6341,16.7108,25.9914,13.6532,104.543
0.016,35.3437,4.36951,13.9547,17.0256,26.0318,13.2284,101.758
0.0163,35.8086,4.34614,14.2753,17.2509,25.9016,12.4081,102.979
0.0167,36.9194,4.31888,14.6299,17.3924,25.704,11.0014,103.395
0.017,38.4628,4.29552,15.0087,17.3982,25.704,9.07274,102.189
0.0173,39.9158,4.29552,15.3244,17.222,26.0947,7.04352,101.436
0.0177,40.8522,4.32278,15.4993,16.8697,26.8042,5.57697,101.392
0.018,41.2461,4.40845,15.5381,16.448,27.5316,5.10921,101.414
0.0183,41.2913,4.56034,15.5479,16.0985,27.9627,5.33405,101.794
0.0187,41.1686,4.76284,15.6984,15.9166,27.9089,5.69221,102.248
0.019,40.962,4.95367,16.1599,15.8761,27.343,5.93513,101.963
0.0193,40.7747,5.06271,17.0536,15.8819,26.4764,6.04473,101.283
0.0197,40.7618,5.07829,18.4816,15.879,25.9195,6.07524,100.983
0.02,40.9103,5.05882,20.4828,15.9137,26.4943,6.08088,101.063
0.0203,40.9103,5.04324,22.9065,16.1419,28.2412,6.10348,101.465
0.0207,40.3614,5.04324,25.4031,16.6935,30.0688,6.16901,102.08
0.021,39.0828,5.0705,27.5063,17.5108,30.8861,6.26618,102.131
