"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,36.898,2.27705,6.25985,13.4253,18.397,4.45745,217.58
0.0003,36.9857,2.43991,6.61083,14.1892,18.6125,4.47878,218.939
0.0007,37.0267,2.5824,6.87526,14.9299,18.62,4.54063,220.577
0.001,37.0559,2.69001,7.02431,15.5504,18.6447,4.63661,222.177
0.0013,37.0852,2.74526,7.06758,16.0119,18.6844,4.72831,223.266
0.0017,37.1203,2.75398,7.06758,16.3143,18.6893,4.77737,223.72
0.002,37.1671,2.75689,7.1445,16.4966,18.7215,4.7859,223.844
0.0023,37.2197,2.80051,7.40413,16.5935,18.8826,4.78803,223.917
0.0027,37.2665,2.88776,7.88972,16.644,19.16,4.80936,224.136
0.003,37.3016,2.98663,8.53398,16.6711,19.4771,4.83922,224.831
0.0033,37.3309,3.06515,9.19266,16.6905,19.7942,4.85841,225.913
0.0037,37.3484,3.12041,9.73595,16.706,20.1361,4.86481,226.556
0.004,37.366,3.16112,10.0965,16.7254,20.5424,4.86694,226.556
0.0043,37.3835,3.20183,10.2744,16.7448,21.0428,4.86694,227.674
0.0047,37.3952,3.25127,10.3321,16.7719,21.5879,4.86908,231.731
0.005,37.4128,3.30653,10.3369,16.8029,22.0759,4.87334,237.44
0.0053,35.4763,3.36178,10.3369,16.7254,22.2518,4.84775,239.055
0.0057,34.1308,3.40249,10.3465,16.5199,22.3658,4.84348,239.516
0.006,33.5048,3.42576,10.3658,16.07,22.4302,4.83708,230.81
0.0063,33.3995,3.44902,10.3994,15.3177,22.3261,4.7667,213.53
0.0067,33.3644,3.50428,10.4619,14.3637,21.8455,4.56836,194.013
0.007,32.9256,3.57698,10.5869,13.4563,20.9239,4.22498,178.173
0.0073,31.7029,3.61769,10.7937,12.8475,19.8066,3.77284,167.611
0.0077,29.5266,3.61769,11.0581,12.5954,18.9296,3.29297,160.359
0.008,26.4376,3.71948,11.3177,12.5528,18.558,2.88135,153.657
0.0083,22.6934,4.13534,11.486,12.5489,18.6101,2.60622,145.908
0.0087,18.6684,4.89726,11.5293,12.5024,18.8305,2.49319,137.224
0.009,14.8189,5.81914,11.4524,12.3783,18.947,2.52305,128.877
0.0093,11.5134,6.71193,11.2985,12.1611,18.7017,2.65954,122.261
