"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,1.57107,2.47472,5.10394,11.4135,17.4544,36.1215,178.03
0.0003,1.71327,3.31646,5.13631,11.4424,17.6384,37.751,179.143
0.0007,1.72367,4.26061,5.19026,11.512,17.7727,39.599,180.482
0.001,1.76182,4.97469,5.25501,11.5844,17.8604,41.2683,181.792
0.0013,1.85893,5.32541,5.32514,11.6133,17.8896,42.4009,182.683
0.0017,1.8728,5.39836,5.39528,11.6162,17.8925,42.8878,183.054
0.002,2.00459,5.40117,5.48161,11.7002,18.0502,42.9822,183.156
0.0023,2.72597,5.48534,5.57872,11.9523,18.7161,42.9822,183.216
0.0027,3.80109,5.64948,5.69742,12.326,20.194,42.9871,183.395
0.003,4.69241,5.81081,5.84309,12.6823,22.3817,43.1561,183.963
0.0033,5.19529,5.90481,6.03732,12.9198,24.8234,44.09,184.848
0.0037,5.40338,5.93427,6.2909,13.0328,27.0782,46.3405,185.375
0.004,5.50396,5.93567,6.62541,13.0762,28.968,49.6541,185.375
0.0043,5.62881,5.93988,7.01387,13.1081,30.5744,53.2756,186.29
0.0047,5.87158,5.9469,7.39154,13.1718,32.0815,56.7283,189.609
0.005,6.21493,5.9469,7.6613,13.3833,33.6733,60.0171,194.281
0.0053,6.47504,5.9469,7.74763,13.9279,35.2972,63.1121,195.602
0.0057,6.53053,6.05913,7.70446,14.936,36.9533,65.9587,195.979
0.006,6.52706,6.37899,7.61274,16.1584,38.4312,67.7421,188.856
0.0063,6.67272,6.89245,7.548,17.126,39.5615,67.911,174.717
0.0067,6.91202,7.48027,7.51563,17.5142,40.3034,67.449,158.747
0.007,7.06462,8.00355,7.46707,17.3925,40.7298,68.6513,145.787
0.0073,7.09237,8.38935,7.38614,17.1115,40.9518,72.6156,137.144
0.0077,7.08543,8.62082,7.28363,16.9551,41.0511,77.7326,131.211
0.008,7.08543,8.72604,7.17573,16.9377,41.0628,81.687,125.726
0.0083,7.0785,8.7541,7.08401,16.9348,41.0014,83.6742,119.387
0.0087,7.0785,8.75129,7.01387,16.8913,40.8846,84.3299,112.281
0.009,7.11665,8.75691,6.97071,16.8421,40.7415,84.5237,105.451
0.0093,7.22069,8.78917,6.95452,16.8363,40.6101,84.6379,100.038
0.0097,7.41491,8.84669,6.95452,16.8942,40.5487,84.633,96.4853
0.01,7.75132,8.88036,6.95991,16.9927,40.6714,84.4094,94.2245
0.0103,8.29582,8.79899,6.9761,17.0883,41.1767,83.9871,92.3644
0.0107,9.05187,8.53244,6.99229,17.1231,42.3713,83.5847,90.4326
0.011,9.89463,8.1242,6.99768,17.0825,44.5706,83.3413,88.3333
0.0113,10.6403,7.77628,6.98689,17.0651,47.9061,83.2022,86.1502
0.0117,11.2507,7.74401,6.96531,17.2795,52.1499,83.0432,84.3978
0.012,11.816,8.09333,6.92754,17.8473,56.7589,82.8793,83.5844
0.0123,12.4125,8.62924,6.87899,18.6381,61.0494,82.8445,83.381
0.0127,12.9813,9.0936,6.83582,19.371,64.4258,83.0581,83.2913
0.013,13.3801,9.34753,6.80885,19.849,66.5375,83.6195,83.5186
0.0133,13.4946,9.40224,6.80345,20.0865,67.3728,84.4293,83.7219
0.0137,13.3801,9.36296,6.81964,20.2111,67.2239,85.095,82.7111
0.014,13.3281,9.35735,6.80885,20.3154,66.5375,85.1099,81.5329
