"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,4.24386,7.32551,28.6998,18.846,28.3655,25.6648,217.58
0.0003,4.25324,7.44269,28.7535,19.7071,28.4239,26.4883,218.939
0.0007,4.40807,7.44673,28.8707,19.9287,28.6444,27.0671,220.577
0.001,4.87961,7.72957,29.0661,19.9287,29.8184,27.515,222.177
0.0013,5.69367,8.54172,29.3249,20.0813,31.9262,27.8354,223.266
0.0017,6.70243,9.76196,29.5788,20.5464,34.3,28.0077,223.72
0.002,7.69712,11.0913,29.7595,21.2839,36.3398,28.0594,223.844
0.0023,8.53933,12.3035,29.8377,22.1814,37.8737,28.0628,223.917
0.0027,9.16805,13.3338,29.8474,23.1079,39.0509,28.0697,224.136
0.003,9.59267,14.1904,29.8523,23.9363,40.1016,28.1007,224.831
0.0033,9.84134,14.8894,29.8914,24.583,41.175,28.1662,225.913
0.0037,9.9516,15.4107,29.9793,25.0154,42.2938,28.304,226.556
0.004,9.97975,15.7299,30.0965,25.2588,43.3607,28.5968,226.556
0.0043,9.97975,15.8551,30.2088,25.3569,44.2589,29.1274,227.674
0.0047,9.99617,15.8713,30.2967,25.3678,44.9886,29.851,231.731
0.005,10.0361,15.8794,30.3407,25.3969,45.6599,30.5504,237.44
0.0053,10.0056,15.9157,30.0428,25.6657,46.2922,30.6055,239.055
0.0057,9.89764,15.948,30.0379,26.5268,47.0608,30.4126,239.516
0.006,9.74515,15.9521,29.6716,28.0455,47.865,30.1438,230.81
0.0063,9.62551,15.9602,28.0992,29.9603,48.4293,29.9406,213.53
0.0067,9.5739,16.0612,24.9787,31.7588,48.5752,29.8062,194.013
0.007,9.56451,16.2996,20.7887,32.965,48.4747,29.7063,178.173
0.0073,9.56451,16.6511,16.6134,33.4119,48.546,29.6477,167.611
0.0077,9.56451,17.0309,13.5612,33.3683,49.0422,29.6477,160.359
0.008,9.56451,17.342,12.0376,33.2848,49.8789,29.6546,153.657
0.0083,9.54809,17.5279,11.5444,33.4301,50.7999,29.4375,145.908
0.0087,9.50352,17.5925,11.4614,33.7099,51.5684,28.6382,137.224
0.009,9.43314,17.5441,11.4907,33.8407,52.0127,26.9982,128.877
0.0093,9.38857,17.3946,11.5542,33.5827,51.9543,24.6277,122.261
0.0097,9.46833,17.1925,11.6421,32.8633,51.283,22.0127,117.92
0.01,9.86949,16.9945,11.7104,31.8678,50.3264,19.7043,115.157
0.0103,10.8079,16.841,11.7202,30.9922,50.1026,17.985,112.883
0.0107,12.2882,16.7966,11.6079,30.6034,51.6527,16.8515,110.522
0.011,13.9397,16.9905,11.3246,30.7342,54.7951,16.1831,107.956
0.0113,15.23,17.6289,10.8168,31.083,58.132,15.8902,105.288
0.0117,15.8001,18.8815,10.1038,31.2973,60.4183,15.9178,103.147
0.012,15.6805,20.7563,9.34197,31.1847,61.4106,16.1831,102.153
0.0123,15.2277,23.0311,8.77061,30.7378,61.5662,16.5379,101.904
0.0127,14.8429,25.2655,8.51667,30.0984,61.3619,16.8136,101.794
0.013,14.7116,26.9747,8.49226,29.5534,61.002,16.9376,102.072
