"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,12.8532,3.18169,4.64213,8.35284,14.9278,3.49306,217.58
0.0003,12.8532,3.1861,4.64469,8.36183,15.991,3.49475,218.939
0.0007,13.7236,3.1861,4.64469,8.36858,16.8666,3.49475,220.577
0.001,16.5198,3.19052,4.64725,8.37757,17.515,3.49813,222.177
0.0013,20.7456,3.20375,4.64725,8.39106,17.9528,3.5049,223.266
0.0017,25.49,3.22141,4.64725,8.3978,18.2161,3.50997,223.72
0.002,30.2705,3.2523,4.64725,8.40005,18.3577,3.51335,223.844
0.0023,34.8931,3.29642,4.64725,8.40905,18.4202,3.51504,223.917
0.0027,39.0558,3.35379,4.65237,8.45851,18.4433,3.5235,224.136
0.003,42.2172,3.4244,4.68054,8.55519,18.4466,3.55224,224.831
0.0033,43.8408,3.50824,4.75735,8.67661,18.4531,3.60972,225.913
0.0037,44.1023,3.58326,4.91098,8.80027,18.4696,3.68243,226.556
0.004,44.2918,3.65828,5.15935,8.92393,18.5585,3.7416,226.556
0.0043,46.0777,3.71565,5.51525,9.06333,18.8152,3.76865,227.674
0.0047,49.8615,3.7686,5.99662,9.22522,19.3057,3.77373,231.731
0.005,54.4481,3.81714,6.62394,9.39835,19.9739,3.77373,237.44
0.0053,58.516,3.43322,7.37159,7.9144,20.201,3.69595,239.055
0.0057,61.6188,3.16845,8.39578,6.64405,20.2833,3.55055,239.516
0.006,63.982,3.04489,9.68114,5.94479,20.1846,3.34597,230.81
0.0063,66.025,3.03165,11.1432,5.82338,19.9607,3.12448,213.53
0.0067,68.0003,3.07137,12.6257,5.95603,19.6941,2.88609,194.013
0.007,69.8539,3.1155,13.9392,6.20111,19.4538,2.5919,178.173
0.0073,71.2745,3.14639,14.9224,6.76096,19.2958,2.34167,167.611
0.0077,72.0186,3.17728,15.5036,7.85369,19.2399,2.59697,160.359
0.008,72.1945,3.21699,15.7238,9.36687,19.2629,3.64354,153.657
0.0083,72.1855,3.27436,15.7085,10.9542,19.2991,5.07728,145.908
0.0087,72.2757,3.35379,15.5958,12.2808,19.2892,6.40282,137.224
0.009,72.4651,3.45088,15.496,13.1419,19.1806,7.31244,128.877
0.0093,72.6185,3.57002,15.4806,13.5332,18.9798,7.73005,122.261
0.0097,72.7177,3.71124,15.5856,13.6209,18.7329,7.80951,117.92
0.01,72.9387,3.89658,15.8186,13.6096,18.4861,7.8112,115.157
0.0103,73.5114,4.12605,16.1463,13.6006,18.2622,7.9042,112.883
0.0107,74.5306,4.37758,16.4894,13.6119,18.068,8.08679,110.522
0.011,75.8836,4.61146,16.766,13.7805,17.9067,8.26601,107.956
0.0113,77.435,4.78798,16.9196,14.3583,17.7553,8.38944,105.288
0.0117,79.1262,4.88506,16.9606,15.4106,17.5776,8.46721,103.147
0.012,80.8986,4.91595,16.9606,16.6472,17.3702,8.52977,102.153
0.0123,82.5087,4.90713,17.0092,17.6837,17.2221,8.60585,101.911
0.0127,83.5189,4.87624,17.1577,18.3088,17.2451,8.73266,101.794
0.013,83.6001,4.85417,17.3856,18.5336,17.4163,8.94738,102.072
0.0133,82.8875,4.84093,17.616,18.5134,17.5578,9.26693,102.387
0.0137,82.1208,4.84535,17.7594,18.5246,17.5743,9.66087,101.254
0.014,82.1343,4.863,17.7671,19.0395,17.6072,10.0497,99.8135
0.0143,83.0589,4.89389,17.698,20.6494,17.8936,10.3507,102.708
0.0147,84.2585,4.92478,17.7005,23.6105,18.4894,10.5198,110.025
0.015,85.0477,4.94243,17.9284,27.4351,19.2662,10.5806,114.455
0.0153,85.2417,4.9336,18.4072,31.1899,20.1714,10.5891,111.246
0.0157,85.0117,4.8983,18.9859,34.1039,21.3169,10.5891,104.543
0.016,84.493,4.85417,19.434,35.9093,22.7652,10.5925,101.758
0.0163,83.7038,4.83652,19.5492,36.7907,24.3321,10.5908,102.979
0.0167,82.6079,4.89389,19.2471,37.1055,25.6158,10.5925,103.395
0.017,81.2414,5.0704,18.5839,37.1504,26.2906,10.6533,102.189
0.0173,79.7847,5.37931,17.7389,37.0987,26.3993,10.8444,101.436
0.0177,78.6031,5.81177,16.958,37.11,26.3532,11.125,101.392
0.018,77.9672,6.35455,16.4254,37.418,26.6099,11.2738,101.414
0.0183,77.8139,7.00325,16.1975,38.2657,27.2847,11.0591,101.794
0.0187,77.8139,7.73137,16.2231,39.608,28.1866,10.4724,102.248
0.019,77.7643,8.46832,16.3921,41.011,29.0886,9.77584,101.963
