"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,16.3323,9.13726,99.3395,30.5541,44.9945,6.34249,217.58
0.0003,16.374,9.31987,102.386,31.5791,46.5813,6.39307,218.939
0.0007,16.4209,9.57766,104.404,32.4723,48.538,6.51108,220.577
0.001,16.4704,9.92854,105.801,33.2225,50.8927,6.70665,222.177
0.0013,16.5278,10.3618,106.829,33.7749,53.4337,6.96629,223.266
0.0017,16.5825,10.8415,107.593,34.0937,55.7246,7.22592,223.72
0.002,16.6425,11.3034,108.114,34.2256,57.3038,7.40463,223.844
0.0023,16.7129,11.6758,108.422,34.2586,57.9824,7.47544,223.917
0.0027,16.8041,11.9085,108.575,34.2668,58.0564,7.48218,224.136
0.003,16.911,12.0052,108.648,34.2696,58.1558,7.48556,224.831
0.0033,17.0205,12.0124,108.684,34.2833,58.8293,7.4923,225.913
0.0037,17.1013,12.0303,108.711,34.3135,60.1253,7.4923,226.556
0.004,17.1352,12.1591,108.724,34.3383,61.6433,7.53613,226.556
0.0043,17.143,12.442,108.731,34.341,62.9239,7.7081,227.674
0.0047,17.143,12.8538,108.731,34.3493,63.748,8.00145,231.731
0.005,17.1482,13.3013,108.738,34.3932,64.1587,8.30155,237.44
0.0053,16.3349,13.2154,108.313,34.0854,63.8117,8.45328,239.055
0.0057,15.4876,13.0256,107.121,33.3627,63.3729,8.47014,239.516
0.006,14.7525,12.8072,104.596,32.1287,63.0464,8.39259,230.81
0.0063,14.3041,12.6712,100.451,30.565,62.9392,8.23411,213.53
0.0067,14.2207,12.6676,95.0753,29.0783,62.9545,8.02843,194.013
0.007,14.3771,12.7428,89.53,28.0752,62.804,7.85646,178.173
0.0073,14.5153,12.7714,85.1629,27.7509,62.1662,7.80926,167.611
0.0077,14.398,12.6604,82.8665,28.045,60.8907,7.88681,160.359
0.008,13.9522,12.4313,82.4649,28.8007,59.1074,7.98796,153.657
0.0083,13.3057,12.2487,82.7039,29.7736,57.1966,8.0318,145.908
0.0087,12.7035,12.3059,81.9307,30.5073,55.6047,8.02168,137.224
0.009,12.3594,12.7034,78.8378,30.4551,54.6659,8.00482,128.877
0.0093,12.3098,13.3192,73.0337,29.4246,54.4133,8.01494,122.261
0.0097,12.4219,13.9064,65.1788,27.8499,54.5281,8.05203,117.92
0.01,12.5392,14.2752,56.6303,26.4675,54.472,8.09924,115.157
0.0103,12.5757,14.3826,48.7024,25.72,53.801,8.10598,112.883
0.0107,12.5366,14.3146,42.0289,25.5909,52.4642,8.07226,110.522
0.011,12.4845,14.1499,36.7458,25.9756,50.8213,8.10261,107.956
0.0113,12.4741,13.9171,33.059,26.9375,49.3263,8.27795,105.288
0.0117,12.5236,13.6594,31.1741,28.5177,48.1936,8.50049,103.147
0.012,12.6044,13.5842,30.7327,30.3782,47.4487,8.57467,102.153
0.0123,12.6956,14.0281,30.902,31.8567,47.2063,8.48363,101.904
0.0127,12.7999,15.3207,31.0679,32.563,47.6247,8.42631,101.794
0.013,12.9746,17.5405,31.0546,32.7251,48.5329,8.53421,102.072
0.0133,13.3604,20.4801,30.9219,32.7553,49.4054,8.72303,102.321
0.0137,14.1712,23.7454,30.7891,32.901,49.8136,8.86802,101.085
0.014,15.5528,26.8676,30.8688,34.0552,49.709,8.93883,99.6454
0.0143,17.3516,29.4312,31.5822,37.9081,49.26,8.92197,102.489
0.0147,19.1425,31.1712,33.4141,44.6384,48.5661,8.77361,109.513
0.015,20.4538,32.0843,36.3908,51.9979,47.7293,8.51735,113.724
0.0153,21.0716,32.3743,39.8155,57.5877,47.2038,8.31166,110.698
0.0157,21.1733,32.3277,42.7988,60.5997,47.8671,8.40945,104.309
0.016,21.1994,32.2024,44.9293,61.677,50.533,8.90849,101.509
0.0163,21.507,32.2167,46.4027,61.8831,55.2782,9.55251,102.664
0.0167,22.0649,32.6464,47.6803,61.8858,61.3499,9.93016,103.3
0.017,22.5967,33.8208,49.2301,61.9188,67.6257,9.91667,102.299
0.0173,22.8808,35.9583,51.3174,62.07,73.0469,9.95714,101.568
0.0177,22.8913,38.8871,53.6238,62.4767,76.871,10.79,101.546
0.018,22.701,42.0522,55.2598,63.2819,78.8099,12.54,101.524
0.0183,22.3777,44.827,55.6116,64.3977,79.1773,14.5901,101.699
0.0187,21.9815,46.8213,55.2532,65.409,78.8507,16.3097,102.211
0.019,21.5565,47.985,55.6613,65.9366,78.9068,17.4427,102.299
0.0193,21.1551,48.4647,57.679,66.0163,79.9094,18.0429,101.846
0.0197,20.811,48.4934,60.586,65.9723,81.5065,18.3059,101.546
0.02,20.5529,48.3287,63.0683,65.9696,82.856,18.4037,101.524
0.0203,20.3991,48.2356,64.4753,65.9311,83.4785,18.4441,101.546
0.0207,20.3495,48.4254,65.0428,65.78,83.5882,18.4846,101.846
0.021,20.3782,48.9517,65.2817,65.5849,83.5933,18.5419,102.299
0.0213,20.4147,49.657,65.3912,65.4447,83.5117,18.5689,102.211
0.0217,20.3965,50.2764,65.1821,65.3485,83.032,18.5217,101.699
0.022,20.3235,50.6309,64.4886,65.1012,82.0958,18.4273,101.524
