"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,42.7892,9.58681,10.5027,10.5663,14.6196,24.0965,178.03
0.0003,44.237,9.67868,11.1116,10.7541,14.9392,24.8036,179.143
0.0007,45.0277,9.77055,11.23,10.882,15.3543,25.29,180.482
0.001,45.2177,9.8587,11.2714,10.9451,15.9126,25.6718,181.792
0.0013,45.2177,9.94933,11.8417,10.9646,16.526,26.0169,182.683
0.0017,45.3101,10.0499,13.2248,10.9646,17.0476,26.3393,183.054
0.002,45.4847,10.1641,15.1782,10.971,17.3892,26.6108,183.156
0.0023,45.6079,10.2833,17.2391,10.9969,17.5803,26.8003,183.216
0.0027,45.6387,10.3901,18.9858,11.0374,17.6831,26.9078,183.395
0.003,45.6438,10.4745,20.1292,11.0682,17.7639,26.953,183.963
0.0033,45.7311,10.5428,20.5893,11.0698,17.8521,26.9672,184.848
0.0037,45.88,10.6247,20.6114,11.1022,17.9439,26.97,185.375
0.004,45.957,10.7811,20.7932,11.3142,17.9917,26.9728,185.375
0.0043,45.9622,11.13,21.6611,11.7902,17.9917,26.9728,186.29
0.0047,46.2035,11.8078,23.102,12.3859,18.1753,26.9728,189.609
0.005,47.066,12.8333,24.4411,12.8117,19.0349,26.9728,194.281
0.0053,48.2572,13.6664,24.7496,12.6271,20.8091,26.9163,195.602
0.0057,49.3354,14.3802,24.6009,12.3147,23.193,26.6843,195.979
0.006,49.7102,14.8048,24.5154,12.2856,25.5402,26.1781,188.856
0.0063,49.6229,14.9885,24.8709,12.7291,27.4797,25.4739,174.717
0.0067,50.1158,15.1512,25.5404,13.3977,29.0923,24.8234,158.747
0.007,52.0566,15.5174,26.1603,13.8818,30.6204,24.467,145.787
0.0073,55.0807,16.1791,26.5184,13.953,32.1595,24.4161,137.144
0.0077,57.8018,17.0271,26.6479,13.6276,33.5663,24.4727,131.211
0.008,58.8698,17.8514,26.6617,13.0804,34.5801,24.3737,125.726
0.0083,57.9199,18.4945,26.6507,12.5106,35.0246,23.9099,119.387
0.0087,55.8097,18.9278,26.6452,12.046,34.9438,22.9483,112.281
0.009,54.0384,19.2233,26.6424,11.7092,34.5581,21.438,105.451
0.0093,53.4736,19.4604,26.5846,11.4599,34.1908,19.4441,100.038
0.0097,53.7047,19.6851,26.3862,11.2479,34.1798,17.2013,96.4853
0.01,53.9922,19.88,26.0225,11.039,34.5948,15.0547,94.2245
0.0103,54.4748,19.9868,25.6148,10.8318,35.0136,13.2983,92.3644
0.0107,55.9278,19.9868,25.3558,10.6473,35.0356,11.9747,90.4326
0.011,58.3563,19.9421,25.3034,10.5178,34.8703,10.9255,88.3333
0.0113,60.5743,19.9347,25.2869,10.4611,34.9658,9.99779,86.1502
0.0117,61.5293,19.9707,25.0279,10.4595,35.2413,9.1069,84.3978
0.012,61.519,20.0005,24.3253,10.4643,35.3552,8.19621,83.5844
0.0123,61.5293,19.9992,23.1627,10.4611,35.3185,7.294,83.381
0.0127,61.7244,19.9905,21.7438,10.474,35.3442,6.56149,83.2913
0.013,61.7296,20.0216,20.424,10.5129,35.8695,6.15423,83.5186
0.0133,62.0119,20.1618,19.5286,10.5469,38.2644,6.02696,83.7219
0.0137,63.198,20.4561,19.1677,10.555,44.0498,6.00716,82.7111
0.014,64.461,20.8583,19.1511,10.5323,52.6673,6.0015,81.5329
0.0143,64.7639,21.237,18.9858,10.398,61.9497,5.99585,83.8595
0.0147,64.8666,21.4518,18.1235,10.0483,70.1594,5.99585,89.6072
0.015,65.8935,21.4058,16.4318,9.56262,76.7639,5.99868,93.0523
0.0153,66.9871,21.0781,14.517,9.28904,82.0167,6.03261,90.5761
0.0157,66.8125,20.5467,13.3708,9.48006,86.3512,6.09484,85.3487
0.016,66.0064,19.9458,13.2165,9.90582,90.0428,6.12595,83.058
0.0163,65.9551,19.376,13.1724,10.0742,93.0769,6.04393,84.003
0.0167,66.3145,18.8459,12.423,9.69537,95.2846,5.78939,84.5234
0.017,65.7856,18.3133,11.095,8.88594,96.618,5.36798,83.704
0.0173,63.8295,17.7074,10.3539,8.08784,97.2755,4.87021,83.1059
0.0177,60.5179,16.96,11.445,7.74302,97.5877,4.43466,83.0879
0.018,56.3283,16.0637,13.864,7.88062,97.8779,4.13487,83.07
0.0183,52.7086,15.1388,16.2141,8.18011,98.3811,3.95952,83.2135
0.0187,50.8089,14.3554,17.724,8.38247,99.1378,3.86336,83.6322
0.019,49.9874,13.8066,18.3825,8.43913,99.9239,3.80114,83.704
0.0193,50.2339,13.4677,18.5395,8.44075,100.49,3.75306,83.3331
0.0197,53.7868,13.2455,18.5064,8.56864,100.776,3.75023,83.0879
0.02,60.5641,13.0419,18.4403,9.14496,100.824,3.787,83.07
0.0203,66.3504,12.8308,18.3962,10.5437,100.739,3.75872,83.0879
0.0207,67.8188,12.6918,18.3852,12.8068,100.71,3.6569,83.3331
0.021,65.801,12.6943,18.41,15.4407,100.89,3.68236,83.704
0.0213,64.0862,12.7886,18.5533,17.6974,101.151,3.9369,83.6322
0.0217,65.4519,12.9053,18.8674,19.0346,101.228,4.1773,83.2135
0.022,69.0613,13.0965,19.2724,19.4409,101.107,4.19144,83.07
0.0223,72.3319,13.4727,19.6305,19.4409,100.982,4.08396,83.0879
0.0227,73.8516,14.0487,19.8758,19.6643,100.982,4.03871,83.0999
0.023,74.0826,14.7427,19.9832,20.3297,101.114,4.05003,83.698
0.0233,74.0826,15.4355,19.9915,21.1974,101.206,4.12639,84.5114
0.0237,73.9594,15.9966,20.1237,21.9453,100.67,4.49406,84.015
0.024,73.446,16.3207,20.7739,22.3953,98.6529,5.19263,83.07
0.0243,73.1944,16.4063,22.3444,22.5313,94.7152,5.88555,85.3547
0.0247,73.8259,16.348,25.1739,22.4892,89.3192,6.29281,90.7615
0.025,74.2572,16.2549,29.4417,22.5427,83.4126,6.41725,93.6862
0.0253,73.2817,16.1717,34.8611,22.9361,77.6419,6.41725,90.7615
0.0257,71.7466,16.1034,40.5147,23.6127,72.0401,6.40028,85.3547
0.026,71.2023,16.0413,45.2067,24.1971,66.3208,6.39746,83.07
0.0263,71.3666,16.0041,48.0886,24.359,60.3518,6.42857,84.015
0.0267,71.1664,16.0202,49.1576,24.1874,54.4599,6.51341,84.5114
0.027,70.9815,16.0935,49.2458,24.1486,49.3908,6.64351,83.698
0.0273,71.7106,16.1853,49.3367,24.5549,45.7652,6.77361,83.0999
0.0277,73.0558,16.2487,49.7252,25.217,43.4254,6.86411,83.0879
0.028,74.1905,16.2772,50.02,25.7448,41.5887,6.8924,83.07
0.0283,74.7963,16.2847,49.8933,25.9957,39.899,6.88391,83.2135
0.0287,74.8117,16.2834,49.4993,26.0928,39.5464,6.86411,83.6322
0.029,74.5037,16.276,49.2017,26.2126,42.6797,6.82169,83.704
0.0293,74.5139,16.2511,49.1962,26.4975,49.7397,6.73967,83.3331
0.0297,74.324,16.1878,49.5213,27.0415,58.6731,6.68594,83.0879
0.03,71.839,16.0848,50.1715,27.7797,67.2171,6.74816,83.07
0.0303,66.0783,15.9681,51.1083,28.4337,74.3212,6.94048,83.0879
