"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,1.75901,11.1721,34.3637,17.1305,8.89296,15.8216,217.58
0.0003,1.99715,12.0686,34.3661,20.5414,10.5189,16.5019,218.939
0.0007,2.14617,12.6619,34.4351,22.2951,12.1214,18.2727,220.577
0.001,2.20607,12.9319,34.6616,22.8007,13.3336,21.2788,222.177
0.0013,2.21921,12.9785,35.1024,22.827,14.0204,25.1003,223.266
0.0017,2.2236,12.9919,35.6934,22.8738,14.2845,29.0762,223.72
0.002,2.24113,13.1852,36.2573,23.0111,14.3315,32.6564,223.844
0.0023,2.33755,13.7484,36.6193,23.1105,14.3315,35.5467,223.917
0.0027,2.59176,14.7683,36.7375,23.1222,14.3432,37.6504,224.136
0.003,2.97307,16.1982,36.7375,23.1661,14.3579,39.04,224.831
0.0033,3.32663,17.838,36.8114,23.5197,14.3755,39.841,225.913
0.0037,3.52386,19.4178,37.0453,24.4901,14.4019,40.2077,226.556
0.004,3.56185,20.7243,37.3507,26.1415,14.4606,40.3042,226.556
0.0043,3.57207,21.6775,37.5772,28.1903,14.6191,40.3042,227.674
0.0047,3.71525,22.3141,37.6634,30.1808,14.9948,40.3766,231.731
0.005,4.04981,22.7308,37.6658,31.7941,15.7197,40.6275,237.44
0.0053,4.52024,22.9974,37.3334,32.899,16.5679,41.0521,239.055
0.0057,5.06226,23.1607,37.1118,33.6267,17.692,41.5732,239.516
0.006,5.65542,23.2374,37.0749,34.0768,18.9628,42.0654,230.81
0.0063,6.2997,23.2474,37.1807,34.334,20.219,42.4176,213.53
0.0067,6.98052,23.244,37.1783,34.4247,21.2873,42.5624,194.013
0.007,7.63065,23.284,36.5799,34.3983,22.0387,42.4369,178.173
0.0073,8.14491,23.374,34.8882,34.4217,22.4202,42.0316,167.611
0.0077,8.43564,23.494,31.9283,34.7842,22.5112,41.4623,160.359
0.008,8.51307,23.634,28.0524,35.6785,22.476,40.946,153.657
0.0083,8.50577,23.8306,24.0632,37.0406,22.5083,40.6082,145.908
0.0087,8.60365,24.1739,20.8423,38.7504,22.7871,40.4104,137.224
0.009,8.92215,24.7439,18.8649,40.811,23.4005,40.2608,128.877
0.0093,9.43202,25.5304,18.0006,43.0615,24.3192,40.2319,122.261
0.0097,10.0135,26.427,17.811,44.8678,25.4227,40.5889,117.92
0.01,10.5584,27.2936,17.9415,45.4903,26.5615,41.5684,115.157
0.0103,11.0157,28.0735,18.1878,44.7889,27.5917,43.098,112.883
0.0107,11.3795,28.8067,18.3897,43.4882,28.4252,44.7868,110.522
0.011,11.6644,29.5567,18.3577,42.6435,29.021,46.0944,107.956
0.0113,11.8748,30.3199,17.9317,42.8131,29.3732,46.601,105.288
0.0117,12.0136,30.9932,17.0969,43.7922,29.5023,46.1716,103.147
0.012,12.0895,31.4598,16.0553,45.0812,29.4935,44.9605,102.153
0.0123,12.1187,31.6464,15.1097,46.3146,29.47,43.3296,101.904
0.0127,12.1114,31.5431,14.499,47.282,29.5053,41.689,101.794
0.013,12.0588,31.1565,14.2724,47.8461,29.5757,40.3718,102.072
0.0133,11.9741,30.4965,14.2724,47.963,29.6285,39.5081,102.321
0.0137,11.9084,29.6166,14.1616,47.8081,29.6725,39.0593,101.085
0.014,11.9493,28.6234,13.6297,47.814,29.7577,38.8663,99.6454
0.0143,12.1947,27.6935,12.7753,48.4044,30.0629,38.7891,102.489
0.0147,12.7353,27.1136,12.2114,49.5413,30.9698,38.8374,109.513
0.015,13.6089,27.2336,12.5389,50.6871,32.8335,39.18,113.724
0.0153,14.7441,28.2901,13.5657,51.2979,35.4926,39.9954,110.698
0.0157,15.9377,30.1999,14.6246,51.2892,38.228,41.3658,104.309
0.016,16.9283,32.6096,15.3141,50.9706,40.3118,43.2813,101.509
0.0163,17.5302,35.1493,15.6539,50.652,41.4623,45.6649,102.664
0.0167,17.7186,37.5557,15.8336,50.4649,41.8732,48.4056,103.3
0.017,17.612,39.6655,16.0257,50.4445,41.9378,51.3248,102.299
0.0173,17.3724,41.3853,16.299,50.5848,41.9671,54.2247,101.568
0.0177,17.1386,42.6718,16.6463,50.7689,42.1139,56.9171,101.546
0.018,16.9955,43.5217,16.9935,50.7485,42.3634,59.3007,101.524
0.0183,16.9575,43.965,17.252,50.3071,42.5776,61.3804,101.699
0.0187,16.9619,44.065,17.353,49.3806,42.6099,63.2139,102.211
0.019,16.9107,43.875,17.284,48.0156,42.4661,64.8593,102.299
0.0193,16.7515,43.4351,17.0821,46.2678,42.3076,66.2199,101.846
0.0197,16.5075,42.7985,16.8137,44.2306,42.2841,67.0499,101.546
0.02,16.2314,42.0486,16.5157,42.1554,42.3487,67.1464,101.524
0.0203,15.9611,41.3053,16.2005,40.4982,42.3252,66.5674,101.546
0.0207,15.7215,40.6787,15.9124,39.6331,42.108,65.6409,101.846
0.021,15.5506,40.2488,15.7967,39.4752,41.7558,64.7531,102.299
0.0213,15.5111,40.0888,15.9198,39.4489,41.4887,64.121,102.211
0.0217,15.6806,40.2621,16.0651,38.9871,41.6208,63.7688,101.699
0.022,16.113,40.8354,16.0183,37.932,42.4279,63.6723,101.524
0.0223,16.7369,41.8519,16.3237,36.5671,43.9981,63.8267,101.546
0.0227,17.3753,43.2884,18.2616,35.3044,46.17,64.232,101.561
0.023,17.8501,45.0349,22.172,34.3574,48.6148,64.8882,102.291
0.0233,18.0956,46.9213,26.8039,33.767,50.9511,65.7809,103.286
0.0237,18.1599,48.7178,30.7759,33.577,52.8265,66.8617,102.679
0.024,18.1423,50.191,33.5585,33.6267,53.9946,68.0245,101.524
0.0243,18.1131,51.1975,35.4028,33.1152,54.4408,69.1247,104.316
0.0247,18.0576,51.7208,36.8434,30.9933,54.3292,69.9449,110.924
0.025,17.8677,51.8075,38.2888,27.2697,53.798,70.302,114.499
0.0253,17.3841,51.4875,40.0003,24.2183,52.8177,70.1331,110.924
0.0257,16.506,50.7476,42.0269,25.2062,51.3414,69.5445,104.316
0.026,15.3022,49.621,44.0633,29.982,49.554,68.7001,101.524
0.0263,14.037,48.2112,45.5334,35.3453,47.8782,67.653,102.679
0.0267,13.0392,46.648,46.0998,39.3759,46.6807,66.3454,103.286
0.027,12.4811,45.0316,46.021,41.7959,46.0262,64.7193,102.291
0.0273,12.2941,43.4084,46.0013,42.9943,45.7503,62.8231,101.561
0.0277,12.3218,41.8319,46.6021,43.3626,45.6564,60.7917,101.546
0.028,12.4256,40.4454,47.8432,43.2106,45.586,58.741,101.524
0.0283,12.4942,39.4789,49.3305,42.8715,45.4598,56.671,101.699
0.0287,12.4957,39.1756,50.6627,42.6903,45.3042,54.4901,102.211
0.029,12.5088,39.5855,51.6674,42.8335,45.2484,52.2271,102.299
0.0293,12.6213,40.5254,52.3471,43.193,45.3247,50.2874,101.846
0.0297,12.7776,41.6286,52.7854,43.5087,45.3688,49.2307,101.546
0.03,12.8332,42.5318,53.0587,43.6578,45.1545,49.2404,101.524
0.0303,12.7484,43.0085,53.2311,43.6928,44.6174,49.7856,101.546
0.0307,12.652,43.0651,53.3517,43.763,43.913,50.104,101.846
0.031,12.7119,42.8985,53.4428,44.0406,43.2468,49.9931,102.299
0.0313,12.9632,42.7718,53.5093,44.748,42.7273,50.0606,102.211
0.0317,13.2861,42.8951,53.5758,45.9901,42.3135,51.2766,101.699
0.032,13.4833,43.3351,53.7211,47.5685,41.8439,54.0896,101.524
0.0323,13.4161,44.0683,53.9797,49.0942,41.0955,58.0993,101.546
0.0327,13.0947,45.0416,54.1422,50.2808,39.851,62.4467,101.561
0.033,12.7061,46.2014,53.7777,51.0992,38.0196,66.3551,102.291
0.0333,12.4971,47.458,52.5908,51.748,35.7362,69.3418,103.286
0.0337,12.5906,48.6578,50.7514,52.3998,33.4,71.214,102.679
0.034,12.9164,49.6344,48.8134,52.9405,31.6038,71.9908,101.524
0.0343,13.2948,50.2576,47.2325,53.1042,30.8377,71.8798,104.316
0.0347,13.5666,50.5343,46.0555,52.9815,31.1224,71.2574,110.924
0.035,13.6498,50.5643,45.0065,53.1685,31.9149,70.577,114.499
0.0353,13.552,50.5009,43.7555,54.0658,32.4901,70.191,110.924
0.0357,13.362,50.4909,42.0441,55.2875,32.4197,70.1959,104.316
0.036,13.1882,50.6543,39.791,56.1995,31.7476,70.4371,101.524
0.0363,13.0976,51.0409,37.3507,56.8659,30.8289,70.7893,102.679
0.0367,13.0918,51.6041,35.5087,58.1139,30.0306,71.3153,103.286
0.037,13.1356,52.1841,34.8931,60.6363,29.4935,72.232,102.291
0.0373,13.2042,52.5974,35.2674,64.1407,29.1443,73.6651,101.561
0.0377,13.2539,52.7674,35.7353,67.5457,28.8302,75.4794,101.546
0.038,13.2422,52.784,35.6171,69.8606,28.4692,77.3322,101.524
0.0383,13.175,52.7807,34.8537,70.8339,28.1023,78.8569,101.699
0.0387,13.1268,52.7973,33.7702,70.9683,27.8499,79.8895,102.211
0.039,13.1297,52.7074,32.6597,70.9829,27.7766,80.5264,102.299
0.0393,13.121,52.3641,31.6303,71.2402,27.7766,80.8787,101.846
0.0397,13.0216,51.7441,30.7118,71.7049,27.6504,80.9221,101.546
0.04,12.8653,51.0009,29.9731,72.2661,27.3304,80.5602,101.524
0.0403,12.7601,50.3843,29.5003,72.874,26.9694,79.9185,101.546
0.0407,12.747,50.0743,29.3156,73.5229,26.7699,79.3829,101.846
0.041,12.7236,50.061,29.3772,74.1834,26.7904,79.2092,102.299
0.0413,12.5527,50.1376,29.6234,74.7124,26.8961,79.214,102.211
0.0417,12.1728,50.0143,29.9731,74.8118,26.9225,78.8376,101.699
0.042,11.6176,49.4711,30.3203,74.2711,26.7787,77.5493,101.524
0.0423,10.9646,48.4145,30.5149,73.2744,26.4558,75.1513,101.546
0.0427,10.2808,46.808,30.4311,72.2982,25.9539,71.764,101.561
0.043,9.59711,44.6183,30.0421,71.6289,25.2437,67.735,102.291
0.0433,8.91922,41.7886,29.4363,71.1349,24.2693,63.4648,103.286
0.0437,8.24718,38.2957,28.7468,70.5708,22.9808,59.3876,102.679
0.044,7.5839,34.2661,28.077,69.9892,21.3754,55.9135,101.524
0.0443,6.94253,30.0733,27.4712,69.656,19.5087,53.3417,104.316
0.0447,6.35522,26.337,26.9664,69.6735,17.5071,51.7639,110.924
0.045,5.87602,23.724,26.6242,69.7992,15.5289,51.0449,114.499
0.0453,5.57214,22.5241,26.4739,69.6414,13.7797,50.8568,110.924
0.0457,5.49617,22.3708,26.4567,68.9224,12.4589,50.8568,104.316
0.046,5.63058,22.5341,26.437,67.4814,11.7017,50.7651,101.524
0.0463,5.8994,22.3875,26.2942,65.1841,11.4581,50.408,102.679
0.0467,6.19597,21.6809,26.0282,61.9281,11.4581,49.636,103.286
0.047,6.43265,20.6343,25.7081,57.7222,11.4082,48.2946,102.291
0.0473,6.56852,20.0044,25.3831,52.6629,11.1764,46.2054,101.561
0.0477,6.61381,20.7676,25.026,47.0657,10.83,43.2186,101.546
0.048,6.61089,23.2007,24.5212,41.7346,10.5747,39.3778,101.524
0.0483,6.60212,26.587,23.7308,37.9262,10.5894,35.0786,101.699
0.0487,6.61235,30.0066,22.5709,36.3449,10.924,31.0303,102.211
0.049,6.63573,32.9596,21.1132,36.2222,11.4405,27.9857,102.299
0.0493,6.65764,35.4093,19.6283,36.1374,11.8954,26.2583,101.846
0.0497,6.66641,37.4958,18.5251,35.4038,12.1214,25.549,101.546
0.05,6.65764,39.2855,18.2518,34.3019,12.1332,25.3271,101.524
0.0503,6.64157,40.6621,19.0619,33.5157,12.0979,25.2064,101.546
0.0507,6.64157,41.452,20.7339,33.5274,12.142,25.0375,101.846
0.051,6.68832,41.6319,22.5759,34.3808,12.2183,24.8204,102.299
0.0513,6.81104,41.5186,23.8514,35.7925,12.1713,24.6805,102.211
0.0517,7.03603,41.7053,24.1986,37.4176,11.9629,24.6901,101.699
0.052,7.37936,42.7552,23.7578,39.0777,11.7722,24.7143,101.524
0.0523,7.83372,44.8249,23.0019,40.6473,11.869,24.4199,101.546
0.0527,8.35091,47.6179,22.3936,41.8632,12.4061,23.508,101.561
0.053,8.85932,50.6576,22.1031,42.4214,13.3101,21.9495,102.291
0.0533,9.29031,53.5473,22.0243,42.3483,14.3902,20.0484,103.286
0.0537,9.61318,56.0336,22.0046,42.0999,15.4996,18.2872,102.679
0.054,9.82649,58.0134,22.0095,42.097,16.5503,17.0471,101.524
0.0543,9.94629,59.4666,22.1277,42.2753,17.4983,16.4151,104.316
0.0547,9.99011,60.4431,22.4921,42.2928,18.3201,16.2317,110.924
0.055,9.9755,61.0264,23.2087,42.0619,18.9863,16.2896,114.499
0.0553,9.91268,61.3264,24.3267,41.8544,19.4853,16.4585,110.924
0.0557,9.81042,61.433,25.8042,41.9041,19.8287,16.6611,104.316
0.056,9.67162,61.4297,27.4639,42.2607,20.0605,16.8397,101.524
0.0563,9.50507,61.3697,28.993,42.9884,20.2425,16.9699,102.679
0.0567,9.31953,61.2731,30.0371,44.2657,20.4157,17.0327,103.286
0.057,9.12522,61.1231,30.4139,46.0691,20.6182,16.9989,102.291
0.0573,8.93383,60.8498,30.3105,48.0273,20.8852,16.8204,101.561
0.0577,8.75998,60.3465,30.2735,49.6875,21.2463,16.4585,101.546
0.058,8.61388,59.5099,30.9039,50.8244,21.6718,15.9277,101.524
0.0583,8.49846,58.2934,32.3863,51.4295,22.071,15.2908,101.699
0.0587,8.40788,56.7669,34.3883,51.6048,22.3263,14.6201,102.211
0.059,8.33776,55.0704,36.4174,51.5318,22.3762,13.9494,102.299
0.0593,8.28662,53.3373,38.1682,51.4412,22.2706,13.2691,101.846
0.0597,8.25887,51.6241,39.5964,51.4704,22.1444,12.5887,101.546
0.06,8.25594,49.9643,40.7464,51.5434,22.1179,11.947,101.524
0.0603,8.27347,48.4145,41.5664,51.4324,22.2001,11.45,101.546
0.0607,8.30123,47.1413,41.9161,50.9034,22.2823,11.1846,101.846
0.061,8.32023,46.3581,41.7461,49.8424,22.2735,11.1605,102.299
0.0613,8.30854,46.1248,41.2438,48.2232,22.1972,11.257,102.211
0.0617,8.23111,46.1648,40.771,46.1041,22.1532,11.3439,101.699
0.062,8.0441,45.9481,40.5962,43.6811,22.1854,11.3294,101.524
0.0623,7.70224,44.9449,40.6922,41.2991,22.2089,11.1846,101.546
0.0627,7.18359,42.8751,40.8375,39.3466,22.0827,10.9385,101.561
0.063,6.50716,39.7522,40.8695,38.0343,21.7217,10.6346,102.291
0.0633,5.74307,35.8026,40.7981,37.289,21.1289,10.3306,103.286
0.0637,4.99067,31.3264,40.7267,36.8886,20.3892,10.0652,102.679
0.064,4.33762,26.6136,40.7094,36.6372,19.6085,9.8336,101.524
0.0643,3.82774,21.9475,40.707,36.4209,18.8924,9.63577,104.316
0.0647,3.4625,17.5947,40.675,36.2105,18.3465,9.44759,110.924
0.065,3.21121,13.8418,40.611,36.041,18.0677,9.23528,114.499
0.0653,3.02713,10.9621,40.5494,35.965,18.0941,8.94095,110.924
0.0657,2.88103,9.14563,40.4878,35.965,18.3964,8.55494,104.316
0.066,2.78023,8.30239,40.3376,35.8714,18.8777,8.1255,101.524
0.0663,2.7437,8.06909,40.0003,35.4242,19.4442,7.74914,102.679
0.0667,2.77438,8.04909,39.5299,34.3925,20.037,7.48376,103.286
0.067,2.86058,8.03909,39.1778,32.6271,20.6211,7.32453,102.291
0.0673,2.99353,7.98909,39.1901,30.058,21.1494,7.24251,101.561
0.0677,3.15131,7.9191,39.5496,26.6529,21.5397,7.21838,101.546
0.068,3.28572,7.84911,39.9412,22.4734,21.6982,7.21838,101.524
0.0683,3.35877,7.78578,39.9682,17.7881,21.5779,7.18943,101.699
0.0687,3.3763,7.70579,39.3797,13.2256,21.2521,7.0495,102.211
0.069,3.37484,7.57914,38.1903,9.81766,20.8706,6.74552,102.299
0.0693,3.37776,7.3625,36.671,8.43518,20.5683,6.30643,101.846
0.0697,3.3763,7.04253,35.2132,8.39134,20.3716,5.81427,101.546
0.07,3.35585,6.62592,34.1568,8.30073,20.2454,5.37518,101.524
0.0703,3.31494,6.1593,33.6791,7.79217,20.1427,5.06155,101.546
0.0707,3.27111,5.67936,33.7037,7.33036,20.037,4.86855,101.846
0.071,3.26381,5.20941,33.8121,7.26606,19.9314,4.73827,102.299
0.0713,3.35731,4.7428,33.4846,7.27483,19.8345,4.59834,102.211
0.0717,3.58522,4.28618,32.8049,6.90656,19.7582,4.42464,101.699
0.072,3.92563,3.86623,32.7286,6.18463,19.6966,4.26541,101.524
0.0723,4.32009,3.5296,34.2036,5.59423,19.6408,4.15443,101.546
0.0727,4.71163,3.32962,36.9049,5.47731,19.5968,4.0917,101.561
0.073,5.06226,3.2663,39.6038,5.55331,19.5645,4.04345,102.291
0.0733,5.34277,3.30962,41.4359,5.53285,19.5381,3.9952,103.286
0.0737,5.53269,3.40295,42.3298,6.00342,19.4911,3.94212,102.679
0.074,5.62181,3.50627,42.6499,8.07275,19.3913,3.92765,101.524
0.0743,5.63642,3.58293,42.7311,11.7467,19.2153,4.00968,104.316
0.0747,5.62912,3.62292,42.741,16.166,18.9452,4.15925,110.924
0.075,5.64957,3.63292,42.704,20.4829,18.5549,4.26058,114.499
0.0753,5.70947,3.62959,42.5932,24.0137,18.0295,4.26058,110.924
0.0757,5.78836,3.62626,42.3741,26.3314,17.378,4.21233,104.316
0.076,5.85995,3.61959,42.0416,27.369,16.6472,4.21233,101.524
0.0763,5.91109,3.61626,41.6082,27.5298,15.8899,4.27506,102.679
0.0767,5.94323,3.61292,41.1182,27.5882,15.121,4.33296,103.286
0.077,5.95638,3.61292,40.6306,28.202,14.3197,4.36191,102.291
0.0773,5.95199,3.61292,40.2071,29.3215,13.4744,4.39086,101.561
0.0777,5.93008,3.61626,39.8599,30.2977,12.6086,4.44394,101.546
0.078,5.9067,3.63292,39.5349,30.6572,11.8543,4.53561,101.524
0.0783,5.91401,3.64959,39.1187,30.6221,11.4141,4.65142,101.699
0.0787,5.97391,3.64625,38.5228,30.8355,11.4229,4.75274,102.211
0.079,6.0791,3.61292,37.7914,31.5399,11.7868,4.79617,102.299
0.0793,6.19597,3.55293,37.0724,32.2881,12.2652,4.79134,101.846
0.0797,6.29094,3.47961,36.4789,32.6154,12.6937,4.82995,101.546
0.08,6.35522,3.42961,35.9766,32.6125,13.0459,4.96022,101.524
0.0803,6.3859,3.41295,35.4152,32.7236,13.3835,5.13875,101.546
0.0807,6.39467,3.43628,34.6149,33.1065,13.7503,5.27868,101.846
0.081,6.3859,3.47294,33.5338,33.5098,14.1319,5.33176,102.299
0.0813,6.36106,3.49627,32.4947,33.7056,14.443,5.33658,102.211
