"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,3.66541,8.57894,2.8758,12.0638,41.7969,37.0688,178.03
0.0003,4.14386,8.69802,3.40429,12.5267,45.2411,37.4119,179.143
0.0007,4.57366,9.29513,4.13182,13.1457,49.6241,37.6316,180.482
0.001,4.93047,10.8449,4.97603,13.7096,54.4428,37.8513,181.792
0.0013,5.21429,13.2401,5.81681,14.1247,59.3083,38.1402,182.683
0.0017,5.43325,15.7255,6.54434,14.4186,63.9247,38.4984,183.054
0.002,5.59543,17.5832,7.10028,14.6482,68.0069,38.8807,183.156
0.0023,5.70626,18.5801,7.48121,14.8539,71.2539,39.2358,183.216
0.0027,5.77384,18.9407,7.718,15.0412,73.4947,39.5338,183.395
0.003,5.81168,19.0241,7.85527,15.1808,74.7759,39.7686,183.963
0.0033,5.8279,19.0428,7.9342,15.2561,75.3672,39.9552,184.848
0.0037,5.83601,19.0547,7.97538,15.2818,75.5851,40.1177,185.375
0.004,5.84142,19.0768,7.99597,15.2855,75.6525,40.2772,185.375
0.0043,5.87115,19.1023,7.9994,15.2873,75.6733,40.4458,186.29
0.0047,6.0036,19.1159,7.9994,15.2892,75.6785,40.5962,189.609
0.005,6.42799,19.1193,7.9994,15.2947,75.6785,40.6745,194.281
0.0053,7.29839,19.1176,7.85527,15.3057,74.4751,39.6993,195.602
0.0057,8.48776,19.104,7.75574,15.2929,73.2561,39.1395,195.979
0.006,9.59873,19.07,7.71456,15.1882,72.0787,39.8709,188.856
0.0063,10.2745,18.9985,7.7077,14.9071,70.9842,42.5677,174.717
0.0067,10.4178,18.8539,7.7077,14.4259,69.9831,47.0824,158.747
0.007,10.3421,18.6209,7.70084,13.8216,68.9976,52.482,145.787
0.0073,10.8584,18.3691,7.69741,13.2779,68.0795,57.6378,137.144
0.0077,12.9398,18.2262,7.70084,13.0649,67.7008,61.698,131.211
0.008,16.9998,18.2875,7.70427,13.5443,68.6189,64.2503,125.726
0.0083,22.7602,18.5681,7.70427,14.9347,71.1813,65.2496,119.387
0.0087,29.5423,19.0087,7.70427,16.9808,74.7604,64.8854,112.281
0.009,36.3244,19.5191,7.71456,19.0674,78.2564,63.5701,105.451
0.0093,41.8901,20.0243,7.77634,20.6709,80.8603,62.0411,100.038
0.0097,45.2933,20.5007,7.94106,21.6113,82.2867,61.3489,96.4853
0.01,46.4853,20.9532,8.16755,21.9897,82.5357,62.4866,94.2245
0.0103,46.507,21.3836,8.31512,21.9787,81.6798,65.8124,92.3644
0.0107,46.7638,21.7561,8.24992,21.7215,79.8333,70.6552,90.4326
0.011,47.6936,21.9143,7.94792,21.3578,77.2346,75.6424,88.3333
0.0113,48.5424,21.5656,7.45032,21.0144,74.2261,79.4468,86.1502
0.0117,48.7316,20.5109,6.82231,20.7609,71.2021,81.4423,84.3978
0.012,48.7614,18.9237,6.17714,20.5882,68.5411,81.9118,83.5844
0.0123,49.4642,17.3705,5.67954,20.4395,66.5493,81.7463,83.381
0.0127,50.6725,16.3754,5.52168,20.2907,65.5275,81.7674,83.2913
0.013,51.4239,15.9807,5.71386,20.219,65.6986,82.2519,83.5186
0.0133,51.4645,15.8871,5.96437,20.3495,67.0421,82.9924,83.7219
0.0137,51.9078,15.8684,5.98496,20.6544,69.2673,83.6665,82.7111
0.014,54.0811,15.8599,5.95065,20.9299,71.9697,84.0879,81.5329
0.0143,57.8979,15.8497,6.35559,21.0474,74.8018,84.2474,83.8595
0.0147,61.9687,15.8548,7.15862,21.0658,77.6028,84.2204,89.6072
0.015,65.0151,15.8888,7.76604,21.0695,80.4401,84.1511,93.0523
0.0153,66.6316,15.9211,7.90674,21.097,83.6353,84.2444,90.5761
0.0157,67.1317,15.9245,7.92733,21.2789,87.7383,84.7079,85.3487
0.016,67.0722,15.9416,8.26364,21.6848,93.4128,85.5417,83.058
0.0163,66.9316,16.0606,8.8539,22.0429,101.074,86.3513,84.003
0.0167,66.9587,16.3515,9.35494,22.0852,110.504,86.5138,84.5234
0.017,67.156,16.8074,9.58487,22.3368,120.883,85.6019,83.704
0.0173,67.356,17.3467,9.60546,24.0726,131.226,83.7298,83.1059
0.0177,67.329,17.8452,9.62605,27.7645,140.786,81.5477,83.0879
0.018,66.9452,18.216,9.93834,32.2553,149.095,79.7839,83.07
0.0183,66.1478,18.461,10.786,35.9417,155.864,78.7154,83.2135
0.0187,64.8205,18.6311,12.1106,37.874,161.005,78.0021,83.6322
0.019,62.7337,18.7093,13.5382,38.0356,164.672,77.3851,83.704
0.0193,59.8333,18.5954,14.6467,37.1374,167.131,77.5266,83.3331
0.0197,56.6436,18.2313,15.2644,36.1529,168.635,79.6244,83.0879
