"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,31.2316,11.2241,11.0227,10.9886,12.7321,10.8512,217.58
0.0003,31.5164,11.5702,13.253,11.1606,12.7358,11.07,218.939
0.0007,31.7178,11.8679,15.3061,11.1747,12.7358,11.3632,220.577
0.001,31.8429,12.1126,16.9894,11.1887,12.7395,11.5168,222.177
0.0013,31.8915,12.3044,18.1136,11.2379,12.7395,11.5168,223.266
0.0017,31.8984,12.4521,18.6066,11.2589,12.7395,11.7867,223.72
0.002,31.8984,12.5822,18.6577,11.2624,12.7505,12.8339,223.844
0.0023,31.9054,12.7189,18.7689,11.2624,12.7689,14.5327,223.917
0.0027,31.9123,12.8886,19.5324,11.3081,12.7873,16.2245,224.136
0.003,31.9123,13.1003,21.1796,11.7469,12.7984,17.3764,224.831
0.0033,31.9123,13.345,23.386,13.1828,12.8058,17.8907,225.913
0.0037,31.9193,13.614,25.6224,15.7456,12.8094,17.9884,226.556
0.004,31.9193,13.9116,27.492,18.8667,12.8131,17.9977,226.556
0.0043,31.9193,14.2533,28.8687,21.8929,12.8168,18.2304,227.674
0.0047,31.9262,14.6568,29.8006,24.4663,12.8168,18.9891,231.731
0.005,31.9401,15.1198,30.4018,26.5236,12.8426,20.5413,237.44
0.0053,31.4886,15.5629,30.7835,28.1139,11.5097,22.9265,239.055
0.0057,30.9884,15.9642,31.021,29.3006,10.4567,25.7865,239.516
0.006,30.4536,16.2552,31.1562,30.094,9.79762,28.4743,230.81
0.0063,29.9395,16.3875,31.2254,30.5118,9.38524,30.4151,213.53
0.0067,29.5714,16.35,31.2494,30.6206,8.98759,31.4251,194.013
0.007,29.4533,16.1869,31.2524,30.5258,8.46108,31.7206,178.173
0.0073,29.5088,16.0215,31.2524,30.3327,7.80937,31.6997,167.611
0.0077,29.356,15.962,31.2705,30.1396,7.19817,31.6485,160.359
0.008,28.4321,15.9598,31.3155,30.0308,6.88889,31.6392,153.657
0.0083,26.3273,15.8121,31.3757,30.0519,6.97358,31.6368,145.908
0.0087,23.0486,15.3711,31.4178,30.1747,7.24236,31.6112,137.224
0.009,19.096,14.6899,31.3847,30.2941,7.48536,31.574,128.877
0.0093,15.2337,13.9601,31.2194,30.3081,7.70996,31.5647,122.261
0.0097,12.0939,13.345,30.8767,30.1888,8.03029,31.6136,117.92
0.01,9.87101,12.8842,30.3326,30.0694,8.48317,31.7253,115.157
0.0103,8.35667,12.5337,29.5841,30.1853,9.02073,31.8672,112.883
0.0107,7.22439,12.2471,28.6583,30.6592,9.58038,32.0138,110.522
0.011,6.30744,12.0156,27.6243,31.3227,10.1069,32.1814,107.956
0.0113,5.64752,11.8568,26.6293,31.8845,10.534,32.4071,105.288
0.0117,5.34188,11.7951,25.8809,32.1899,10.8101,32.6398,103.147
0.012,5.32104,11.8194,25.5292,32.2917,10.9353,32.691,102.153
0.0123,5.3905,11.8833,25.4931,32.3058,10.9537,32.3606,101.904
0.0127,5.48081,11.934,25.421,32.3058,10.9317,31.6531,101.794
0.013,5.64752,11.9274,24.8468,32.3022,10.9132,30.8223,102.072
0.0133,5.8976,11.8458,23.4731,32.1618,10.9059,30.1894,102.321
0.0137,6.18241,11.7003,21.2878,31.6141,10.8985,29.8915,101.085
0.014,6.46721,11.5085,18.5615,30.431,10.8948,29.8426,99.6454
0.0143,6.74508,11.277,15.6938,28.63,10.8948,29.8589,102.489
0.0147,7.04378,10.986,13.0547,26.499,10.9022,29.7356,109.513
0.015,7.41194,10.609,10.8724,24.4909,10.928,29.2632,113.724
0.0153,7.89125,10.1372,9.2071,23.1849,10.9574,28.1997,110.698
