"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,3.98087,9.28981,2.66947,14.3014,13.4889,23.4269,217.58
0.0003,4.03997,9.72216,3.14699,14.4187,13.532,24.008,218.939
0.0007,4.07796,10.0843,3.82347,14.6312,13.683,24.3237,220.577
0.001,4.12862,10.4605,4.55302,14.9873,13.9539,24.4801,222.177
0.0013,4.23838,10.8788,5.15986,15.394,14.2798,24.5639,223.266
0.0017,4.44946,11.3056,5.51469,15.6571,14.577,24.6198,223.72
0.002,4.7534,11.6733,5.62412,15.7056,14.7879,24.6757,223.844
0.0023,5.08268,11.9569,5.62412,15.736,14.9125,24.7343,223.917
0.0027,5.34441,12.1731,5.72029,16.0294,14.9725,24.7986,224.136
0.003,5.51749,12.3696,6.07179,16.604,15.0012,24.8628,224.831
0.0033,5.61037,12.5829,6.68527,17.1948,15.0156,24.9215,225.913
0.0037,5.66525,12.8356,7.43803,17.5712,15.0252,24.9662,226.556
0.004,5.69902,13.0911,8.15099,17.727,15.0348,24.9886,226.556
0.0043,5.73279,13.2988,8.6882,17.7735,15.0468,24.9941,227.674
0.0047,5.77923,13.4224,8.98002,17.7897,15.0564,24.9941,231.731
0.005,5.83833,13.4757,9.06955,17.81,15.0635,24.9969,237.44
0.0053,5.57237,13.4196,9.03639,17.2414,14.728,23.9857,239.055
0.0057,5.35708,13.369,9.05297,16.7153,14.3062,23.0498,239.516
0.006,5.23888,13.3746,9.17567,16.3147,13.7381,22.3375,230.81
0.0063,5.21777,13.4954,9.36137,16.1285,12.952,21.9519,213.53
0.0067,5.23465,13.7986,9.54044,16.2115,11.9358,21.8514,194.013
0.007,5.23888,14.3376,9.66314,16.4988,10.7901,21.8514,178.173
0.0073,5.23465,15.0844,9.73278,16.7962,9.73798,21.7452,167.611
0.0077,5.25576,15.9126,9.76594,16.8934,8.97102,21.4128,160.359
0.008,5.31486,16.6818,9.7792,16.6688,8.49646,20.8289,153.657
0.0083,5.39929,17.3135,9.77257,16.1467,8.19447,20.016,145.908
0.0087,5.52172,17.7767,9.74936,15.4669,8.06744,18.9712,137.224
0.009,5.67791,18.0771,9.7162,14.8416,8.29034,17.6778,128.877
0.0093,5.86366,18.2484,9.68635,14.4531,9.01176,16.1078,122.261
0.0097,6.07051,18.3354,9.65982,14.3621,10.1742,14.2836,117.92
0.01,6.27736,18.3606,9.62334,14.5098,11.605,12.3476,115.157
0.0103,6.45044,18.3185,9.55371,14.7971,13.1174,10.5653,112.883
0.0107,6.5602,18.2006,9.41775,15.1532,14.5866,9.24116,110.522
0.011,6.60242,18.0238,9.17899,15.5114,15.9384,8.50365,107.956
0.0113,6.58975,17.8076,8.86396,15.8351,17.1631,8.22988,105.288
0.0117,6.52643,17.5661,8.56219,16.1649,18.2752,8.18798,103.147
0.012,6.38712,17.3247,8.38312,16.5676,19.2842,8.20195,102.153
0.0123,6.15916,17.131,8.35328,16.9601,20.1782,8.17401,101.904
0.0127,5.89321,17.0299,8.3798,17.0917,20.9284,8.06785,101.794
0.013,5.6568,17.0215,8.32011,16.8185,21.518,7.89465,102.072
0.0133,5.49217,17.0748,8.07141,16.3511,21.9518,7.69072,102.321
0.0137,5.39507,17.1422,7.60384,16.1224,22.249,7.50355,101.085
0.014,5.34441,17.1703,6.95056,16.3369,22.4359,7.36667,99.6454
0.0143,5.30642,17.1535,6.19449,16.8023,22.5342,7.29403,102.489
0.0147,5.26843,17.1226,5.48816,17.2333,22.5773,7.27727,109.513
0.015,5.22199,17.1085,5.01064,17.5125,22.5941,7.29124,113.724
0.0153,5.15867,17.1198,4.85147,17.6501,22.6037,7.32476,110.698
0.0157,5.07846,17.1394,4.87468,17.6825,22.6181,7.38622,104.309
0.016,4.98559,17.1478,4.87799,17.6623,22.6445,7.45606,101.509
0.0163,4.9096,17.1282,4.78514,17.6805,22.69,7.484,102.664
0.0167,4.86738,17.0299,4.68566,17.8626,22.7499,7.44768,103.3
0.017,4.87161,16.7913,4.75198,18.334,22.805,7.40578,102.299
0.0173,4.89693,16.3393,5.03385,19.1495,22.8386,7.40578,101.568
0.0177,4.90538,15.6543,5.44173,20.2279,22.8578,7.34991,101.546
0.018,4.87583,14.8092,5.84298,21.3833,22.9057,7.07893,101.524
0.0183,4.80828,13.9052,6.16796,22.4435,23.0519,6.54815,101.699
0.0187,4.71119,13.0125,6.41667,23.3379,23.3227,5.88328,102.211
0.019,4.56344,12.1309,6.62558,24.0906,23.6535,5.30221,102.299
0.0193,4.34392,11.2129,6.82787,24.7745,23.9051,5.00889,101.846
0.0197,4.0062,10.2247,7.05336,25.4625,23.9435,5.05358,101.546
0.02,3.53339,9.21963,7.3087,26.1868,23.7182,5.3525,101.524
0.0203,2.97193,8.34371,7.58394,26.9011,23.2628,5.75477,101.546
0.0207,2.44425,7.75976,7.84259,27.4778,22.6445,6.14308,101.846
0.021,2.08964,7.50428,8.05483,27.7671,21.9158,6.42802,102.299
0.0213,1.97988,7.44813,8.20405,27.7003,21.1033,6.55932,102.211
0.0217,2.01787,7.45094,8.29358,27.3584,20.1902,6.53139,101.699
0.022,2.10653,7.4341,8.33669,26.9497,19.1524,6.38612,101.524
0.0223,2.1994,7.40041,8.34996,26.6482,17.9972,6.19336,101.546
0.0227,2.28383,7.3611,8.35991,26.5065,16.8252,6.03413,101.561
0.023,2.35982,7.34145,8.3997,26.4701,15.7682,5.9615,102.291
