"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,5.77442,1.15442,8.75238,8.12723,14.7456,32.7681,178.03
0.0003,5.81497,1.21683,8.97306,8.12723,15.1955,33.759,179.143
0.0007,5.81497,1.34163,9.13545,8.12964,15.5487,33.9871,180.482
0.001,5.89608,1.58733,9.26037,8.12964,15.8586,33.9942,181.792
0.0013,6.30699,2.00854,9.36447,8.13206,16.1218,34.3577,182.683
0.0017,7.1153,2.59095,9.4644,8.13688,16.3051,35.6123,183.054
0.002,7.94794,3.22927,9.56433,8.1393,16.3884,37.9717,183.156
0.0023,8.35075,3.78698,9.6601,8.1393,16.4118,41.158,183.216
0.0027,8.35886,4.16659,9.73921,8.15378,16.4151,44.5938,183.395
0.003,8.70489,4.35249,9.78918,8.20688,16.4184,47.7088,183.963
0.0033,10.0458,4.40709,9.80583,8.32999,16.4384,50.1751,184.848
0.0037,12.0219,4.40969,9.80583,8.54723,16.4784,51.9072,185.375
0.004,13.8494,4.41359,9.87662,8.90205,16.5117,53.005,185.375
0.0043,15.0876,4.42529,10.1015,9.41136,16.5117,53.618,186.29
0.0047,15.7256,4.43959,10.4804,10.0148,16.5351,53.9174,189.609
0.005,15.95,4.45649,10.8801,10.5386,16.6617,54.0314,194.281
0.0053,15.9716,4.46689,10.8884,10.7969,16.665,54.0172,195.602
0.0057,15.9878,4.48769,10.7385,10.8186,16.8183,53.9958,195.979
0.006,16.2176,4.52149,10.5553,10.92,17.1549,53.9887,188.856
0.0063,16.8475,4.55529,10.472,11.4607,17.6814,54.0172,174.717
0.0067,17.8558,4.5748,10.4887,12.4141,18.3312,54.0813,158.747
0.007,18.9318,4.57739,10.5178,13.4014,19.0476,54.1811,145.787
0.0073,19.6914,4.5709,10.472,14.1255,19.7741,54.3237,137.144
0.0077,19.9834,4.5709,10.3346,14.5479,20.4339,54.5304,131.211
0.008,19.9537,4.57349,10.1015,14.7748,20.9004,54.7799,125.726
0.0083,19.8455,4.56569,9.78085,14.9027,21.067,54.8939,119.387
0.0087,19.7617,4.56179,9.38528,14.9631,20.8671,54.5518,112.281
0.009,19.6779,4.619,8.94392,14.9003,20.3273,53.504,105.451
0.0093,19.586,4.7984,8.47757,14.7096,19.6275,51.836,100.038
0.0097,19.5536,5.07141,8.04453,14.5986,19.1543,49.9613,96.4853
0.01,19.6455,5.31191,7.73641,14.8883,19.2676,48.3717,94.2245
0.0103,19.859,5.41851,7.56152,15.5472,19.954,47.3595,92.3644
0.0107,20.1294,5.41331,7.4033,16.1,20.7805,46.9389,90.4326
0.011,20.3565,5.41591,7.21176,16.2376,21.3103,46.9104,88.3333
0.0113,20.4349,5.49781,7.09101,16.2689,21.4303,46.9603,86.1502
0.0117,20.3159,5.58882,7.1493,16.7976,21.317,46.7037,84.3978
0.012,20.1213,5.55632,7.31169,17.99,21.1903,45.7556,83.5844
0.0123,20.197,5.34441,7.43245,19.4672,21.1404,43.8239,83.381
0.0127,20.8323,5.0155,7.45743,20.8044,21.2337,40.8871,83.2913
0.013,21.8487,4.71,7.43245,21.8375,21.6835,37.2375,83.5186
0.0133,22.6435,4.54359,7.41163,22.5593,22.7765,33.4097,83.7219
0.0137,22.7246,4.54099,7.42412,22.9913,24.616,30.0167,82.7111
0.014,22.0677,4.6606,7.41995,23.1434,27.0219,27.5788,81.5329
0.0143,21.0702,4.8439,7.33668,23.0613,29.6578,26.4669,83.8595
0.0147,20.2078,5.0324,7.12016,22.861,32.1537,26.9373,89.6072
0.015,19.7347,5.17671,6.76207,22.6486,34.1898,29.1185,93.0523
0.0153,19.6482,5.26771,6.29572,22.482,35.566,32.8252,90.5761
0.0157,19.7806,5.31971,5.86268,22.3975,36.2692,37.4727,85.3487
0.016,19.9293,5.35741,5.66698,22.4048,36.4524,42.1844,83.058
0.0163,19.8699,5.38991,5.76691,22.3927,36.3291,46.1833,84.003
0.0167,19.4238,5.41201,6.02923,22.3469,36.0759,49.0203,84.5234
0.017,18.556,5.41071,6.33319,22.8369,35.7626,50.6598,83.704
0.0173,17.4963,5.40161,6.65797,24.7969,35.3961,51.3512,83.1059
0.0177,16.6663,5.42371,6.97442,28.3234,34.9795,51.451,83.0879
0.018,16.323,5.48091,7.19511,32.3762,34.5397,51.2657,83.07
0.0183,16.3014,5.53031,7.25756,35.7603,34.1431,51.002,83.2135
0.0187,16.3041,5.55762,7.25756,37.8844,33.8499,50.7311,83.6322
0.019,16.2906,5.57322,7.51572,38.7992,33.7333,50.4816,83.704
0.0193,16.3879,5.57842,8.23607,38.9658,33.8432,50.2179,83.3331
0.0197,16.5825,5.65902,9.08549,38.9513,34.1131,49.9114,83.0879
0.02,16.7204,6.03083,9.5102,39.1855,34.3264,49.5621,83.07
0.0203,16.7015,6.78354,9.44774,39.8372,34.2298,49.2199,83.0879
0.0207,16.5528,7.70136,9.50187,40.8461,33.7466,48.9348,83.3331
0.021,16.3771,8.49308,10.1681,41.9782,33.0868,48.7281,83.704
0.0213,16.2473,9.02609,11.0467,42.881,32.5836,48.6069,83.6322
0.0217,16.1419,9.34459,11.4922,43.2551,32.4436,48.557,83.2135
0.022,16.2527,9.5942,11.4256,43.0885,32.6702,48.5784,83.07
0.0223,17.1638,9.92571,11.284,42.6372,33.1768,48.6354,83.0879
0.0227,19.0507,10.3807,11.3506,42.1327,33.8732,48.6996,83.0999
0.023,20.9377,10.8539,11.4755,41.6065,34.5663,48.7067,83.698
0.0233,21.6054,11.1841,11.4797,41.0827,34.9362,48.614,84.5114
0.0237,20.9755,11.3011,11.4589,40.7375,34.6863,48.5927,84.015
0.024,20.3727,11.2829,11.6046,40.7617,33.6933,49.612,83.07
0.0243,21.1053,11.3011,11.8753,41.102,32.0371,53.9958,85.3547
0.0247,22.7895,11.4909,12.0543,41.5123,30.0077,64.5597,90.7615
0.025,24.2169,11.8692,12.0252,41.7827,28.1449,81.8883,93.6862
0.0253,24.9009,12.323,11.9502,41.8961,26.9853,103.494,90.7615
0.0257,25.0576,12.7104,12.1251,41.9492,26.4654,125.498,85.3547
0.026,25.0144,12.9444,12.6289,42.0603,25.9323,144.267,83.07
0.0263,24.9468,13.0289,13.1827,42.3354,25.4424,157.425,84.015
0.0267,24.9333,13.0224,13.4658,42.8496,26.7553,164.461,84.5114
0.027,24.9495,12.9951,13.4159,43.4796,31.6006,166.614,83.698
0.0273,24.9225,12.9964,13.2493,43.7548,39.055,166.378,83.0999
0.0277,24.89,13.0432,13.2535,43.0282,46.826,166.5,83.0879
0.028,24.9657,13.1277,13.5783,40.9765,53.3741,168.952,83.07
0.0283,25.1496,13.2538,14.1695,37.9086,58.3326,174.369,83.2135
0.0287,25.3361,13.4345,14.8815,34.6789,62.0848,182.167,83.6322
0.029,25.4469,13.6529,15.4936,32.2048,65.2305,191.199,83.704
0.0293,25.4523,13.8674,15.7684,30.9544,68.2696,200.344,83.3331
0.0297,25.3685,14.0364,15.5936,30.8579,71.502,208.784,83.0879
0.03,25.255,14.1053,15.1647,31.6424,75.0176,216.04,83.07
0.0303,25.2063,13.9948,14.8899,33.0593,78.7398,221.907,83.0879
0.0307,25.3145,13.6763,14.8732,34.8141,82.492,226.319,83.3331
0.031,25.6443,13.2317,14.7525,36.4893,86.0676,229.391,83.704
0.0313,26.1633,12.791,14.2695,37.7348,89.28,231.323,83.6322
0.0317,26.6743,12.4283,13.7073,38.4613,91.9825,232.421,83.2135
0.032,26.9798,12.128,13.5533,38.8089,94.0686,232.962,83.07
0.0323,26.9527,11.825,13.7823,38.9344,95.5148,233.191,83.0879
0.0327,26.3715,11.4545,13.9572,38.8982,96.3579,233.255,83.0999
0.033,25.0549,11.0216,13.8739,38.7655,96.7244,233.248,83.698
0.0333,23.414,10.6836,13.7115,38.6689,96.7844,233.248,84.5114
0.0337,22.4543,10.6576,13.6657,38.6617,96.7111,233.312,84.015
0.034,22.5192,10.9878,13.6615,38.6037,96.6245,233.469,83.07
0.0343,22.5597,11.4454,13.5283,38.3068,96.5611,233.568,85.3547
0.0347,21.546,11.7054,13.2951,37.8072,96.5012,233.055,90.7615
0.035,19.7401,11.5832,13.1286,37.3244,96.4012,230.888,93.6862
0.0353,18.337,11.123,13.1119,37.0251,96.1946,225.834,90.7615
0.0357,18.0883,10.5601,13.0953,36.8706,95.8514,217.124,85.3547
0.036,18.583,10.1506,12.8621,36.7668,95.4981,205.262,83.07
0.0363,19.1021,9.99981,12.3708,36.6268,95.3482,192.282,84.015
0.0367,19.3292,10.031,11.792,36.3179,95.3515,181.141,84.5114
0.037,19.2967,10.1181,11.4131,35.6879,94.9616,174.155,83.698
0.0373,19.194,10.1883,11.4172,34.7803,93.4587,171.568,83.0999
0.0377,19.1778,10.2247,11.742,33.9282,90.5863,171.461,83.0879
0.038,19.1778,10.2286,12.1293,33.4889,86.7874,171.211,83.07
0.0383,19.0372,10.1844,12.2875,33.513,82.8719,168.773,83.2135
0.0387,18.8074,10.0583,12.0127,33.7689,79.4196,163.206,83.6322
0.039,18.7561,9.8178,11.3298,34.0344,76.5638,154.496,83.704
0.0393,19.0588,9.4967,10.5095,34.2299,74.0945,143.183,83.3331
0.0397,19.5752,9.18859,9.91826,34.3361,71.6719,130.075,83.0879
0.04,19.9753,8.98319,9.75587,34.2275,68.9194,115.997,83.07
0.0403,20.0699,8.88438,9.9016,33.5975,65.5371,101.762,83.0879
0.0407,19.9969,8.84018,10.114,32.0286,61.3817,88.1611,83.3331
0.041,20.1213,8.80248,10.2597,29.2527,56.4931,76.0076,83.704
0.0413,20.6457,8.76608,10.318,25.4413,51.0481,66.0852,83.6322
0.0417,21.3783,8.75178,10.2888,21.4007,45.3031,58.9142,83.2135
0.042,22.0028,8.76868,10.1556,18.3569,39.5848,54.4591,83.07
0.0423,22.3813,8.80638,9.96406,17.0872,34.2631,52.1496,83.0879
