"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,3.73088,4.98295,3.51377,7.67164,15.9988,17.2205,217.58
0.0003,3.77243,5.34669,3.97047,7.67772,16.1251,17.3874,218.939
0.0007,3.79552,5.66537,4.38989,7.67975,16.2303,17.6237,220.577
0.001,3.80476,5.90679,4.74095,7.67975,16.3172,17.8127,222.177
0.0013,3.80476,6.05808,4.99882,7.68787,16.3751,17.8947,223.266
0.0017,3.80937,6.13534,5.16037,7.70613,16.4014,17.9104,223.72
0.002,3.82784,6.17396,5.24425,7.74874,16.404,17.9104,223.844
0.0023,3.87402,6.20293,5.27843,7.82178,16.4067,17.9104,223.917
0.0027,3.92481,6.23834,5.28775,7.93135,16.4225,17.9136,224.136
0.003,3.97098,6.28985,5.28775,8.07338,16.4619,17.9293,224.831
0.0033,4.00792,6.34779,5.28775,8.23773,16.5198,17.9545,225.913
0.0037,4.03563,6.40251,5.28775,8.41019,16.5988,17.9797,226.556
0.004,4.06333,6.43792,5.29086,8.57251,16.6909,17.9955,226.556
0.0043,4.09104,6.45723,5.29086,8.71048,16.7804,18.0049,227.674
0.0047,4.11874,6.47011,5.29086,8.8099,16.8515,18.0081,231.731
0.005,4.14183,6.47655,5.29086,8.86874,16.8988,18.0081,237.44
0.0053,4.13721,6.46689,5.25047,8.89106,16.6172,17.4725,239.055
0.0057,4.13721,6.46045,5.21319,8.90324,16.2672,16.8897,239.516
0.006,4.16953,6.45723,5.18522,8.91541,15.8303,16.3856,230.81
0.0063,4.24341,6.45401,5.1728,8.92758,15.3276,16.1335,213.53
0.0067,4.3727,6.46367,5.19765,8.92961,14.8223,16.165,194.013
0.007,4.53431,6.4862,5.27532,8.90729,14.3907,16.1903,178.173
0.0073,4.70515,6.52805,5.40581,8.82005,14.0591,15.6799,167.611
0.0077,4.85753,6.58277,5.55804,8.60497,13.7828,14.2338,160.359
0.008,4.96835,6.64393,5.69163,8.21338,13.467,11.9056,153.657
0.0083,4.99605,6.69222,5.77862,7.64729,13.0327,9.35374,145.908
0.0087,4.91755,6.72441,5.8128,6.99192,12.4511,7.54537,137.224
0.009,4.76518,6.7405,5.79105,6.43192,11.7721,6.93418,128.877
0.0093,4.58972,6.73728,5.71027,6.23308,11.1167,6.94678,122.261
0.0097,4.45119,6.70509,5.55493,6.64293,10.5904,7.02554,117.92
0.01,4.35885,6.62462,5.32503,7.77917,10.2219,7.0602,115.157
0.0103,4.30805,6.47655,5.04542,9.57889,9.97191,6.95308,112.883
0.0107,4.28497,6.27375,4.79998,11.7864,9.78506,6.54352,110.522
0.011,4.27573,6.04521,4.66018,14.0041,9.62978,5.90083,107.956
0.0113,4.28035,5.84241,4.61979,15.8181,9.50872,5.34004,105.288
0.0117,4.30805,5.70721,4.60736,16.9807,9.44818,5.0817,103.147
0.012,4.33576,5.63318,4.57319,17.5163,9.46398,5.02815,102.153
0.0123,4.34961,5.59777,4.52969,17.6523,9.53767,5.02815,101.904
0.0127,4.34961,5.57202,4.50484,17.632,9.63241,5.0439,101.794
0.013,4.35423,5.53983,4.50173,17.5873,9.71663,5.0565,102.072
0.0133,4.36808,5.48833,4.51416,17.5488,9.75084,5.02499,102.321
0.0137,4.38193,5.42073,4.5328,17.5285,9.71137,4.94308,101.085
0.014,4.3727,5.35635,4.54523,17.5549,9.58767,4.85172,99.6454
0.0143,4.34961,5.32094,4.54523,17.6949,9.42976,4.78871,102.489
0.0147,4.37732,5.31772,4.60115,18.0073,9.31133,4.75721,109.513
0.015,4.52046,5.34025,4.79998,18.4902,9.26922,4.7446,113.724
0.0153,4.7698,5.37888,5.14173,19.0766,9.25869,4.7446,110.698
0.0157,5.02375,5.42073,5.52076,19.6934,9.22448,4.7446,104.309
0.016,5.20383,5.45614,5.83454,20.2981,9.17185,4.7131,101.509
0.0163,5.2731,5.48511,6.04891,20.8804,9.14816,4.62174,102.664
0.0167,5.24539,5.49798,6.16697,21.4079,9.16132,4.50202,103.3
0.017,5.14381,5.49798,6.20425,21.8178,9.14553,4.45161,102.299
0.0173,5.00067,5.47545,6.16386,22.0572,9.03762,4.55558,101.568
0.0177,4.86214,5.4336,6.06134,22.1424,8.84813,4.80131,101.546
